Location,Positive Cases
Blagoevgrad,18314
Burgas,27094
Varna,30935
Veliko Tarnovo,9455
Vidin,2855
Vratsa,10036
Gabrovo,6671
Dobrich,7797
Kardzhali,4435
Kyustendil,8869
Lovech,5585
Montana,6238
Pazardzhik,11129
Pernik,7946
Pleven,13065
Plovdiv,36109
Razgrad,3731
Ruse,13965
Silistra,5874
Sliven,10284
Smolyan,4733
Sofia,13289
Sofia (stolitsa),108106
Stara Zagora,17518
Targovishte,3898
Haskovo,9724
Shumen,9639
Yambol,6747
