Age,Sex,Life_Expectancy
0,Male,71.4618147115725
1,Male,70.91001503030499
2,Male,69.93212090310303
3,Male,68.95179261452144
4,Male,67.96699088064084
5,Male,66.98408213191587
6,Male,66.0035790941017
7,Male,65.01017908498176
8,Male,64.02653358086097
9,Male,63.03798264547913
10,Male,62.04910402647456
11,Male,61.058483359095575
12,Male,60.068828432831396
13,Male,59.08183780280492
14,Male,58.097508011576465
15,Male,57.12284505685761
16,Male,56.14915529143377
17,Male,55.18410618027909
18,Male,54.21993438369779
19,Male,53.256630020044526
20,Male,52.300402023232024
21,Male,51.33503379249213
22,Male,50.37049206506605
23,Male,49.40467225566999
24,Male,48.44042504285606
25,Male,47.4862513002226
26,Male,46.53175620393119
27,Male,45.57478905315521
28,Male,44.620356472391585
29,Male,43.66726583260375
30,Male,42.71542856309336
31,Male,41.76808077049055
32,Male,40.819965523288936
33,Male,39.87270760833806
34,Male,38.94016737734219
35,Male,37.99845998155999
36,Male,37.06010406955688
37,Male,36.11999191202297
38,Male,35.20048927469977
39,Male,34.277167664757975
40,Male,33.36017296048607
41,Male,32.45223207575577
42,Male,31.549494800959813
43,Male,30.653516163486263
44,Male,29.75455390021292
45,Male,28.860380678114815
46,Male,27.983338612169614
47,Male,27.119809046027534
48,Male,26.27687654701422
49,Male,25.448396197339708
50,Male,24.63559716307763
51,Male,23.817096568210342
52,Male,23.023163337145725
53,Male,22.25287096666714
54,Male,21.494839818957665
55,Male,20.74256071305976
56,Male,20.018125322746023
57,Male,19.310250819211294
58,Male,18.61253557207455
59,Male,17.9312630142735
60,Male,17.25218589327548
61,Male,16.584760931155
62,Male,15.951239752121973
63,Male,15.345147508744443
64,Male,14.73242595096704
65,Male,14.132333116366551
66,Male,13.553408624112588
67,Male,12.974922305042458
68,Male,12.434428871539643
69,Male,11.893675780173142
70,Male,11.3397401794606
71,Male,10.78727816403258
72,Male,10.268712271112655
73,Male,9.759519117582062
74,Male,9.236476266427086
75,Male,8.737443041829795
76,Male,8.266345622996337
77,Male,7.790812777374938
78,Male,7.332614182876545
79,Male,6.871233608742055
80,Male,6.435848754668206
81,Male,6.031795451566735
82,Male,5.657116005761246
83,Male,5.295392720603052
84,Male,4.938946617920178
85,Male,4.605959182783015
86,Male,4.291387296135497
87,Male,3.9979417753472046
88,Male,3.716908570127222
89,Male,3.4160872867314254
90,Male,3.1856866469245393
91,Male,2.9637453326749843
92,Male,2.737180801191167
93,Male,2.557545254592892
94,Male,2.380277018740526
95,Male,2.1797708121769808
96,Male,1.9494466858732447
97,Male,1.745401312149363
98,Male,1.4816951613161635
99,Male,1.0897180272735705
0,Female,78.45429921233465
1,Female,77.89725664031499
2,Female,76.9516392785562
3,Female,75.99000970994149
4,Female,75.0177973685409
5,Female,74.0377434612896
6,Female,73.04681643649536
7,Female,72.05899294514224
8,Female,71.07508692093963
9,Female,70.0870785985348
10,Female,69.09506982345617
11,Female,68.10209626383106
12,Female,67.10926327299781
13,Female,66.12012808849232
14,Female,65.13458628711902
15,Female,64.14391880830853
16,Female,63.15545682404228
17,Female,62.16914470871092
18,Female,61.179373418264774
19,Female,60.203574470170274
20,Female,59.22378210558206
21,Female,58.23901562159963
22,Female,57.260605492367226
23,Female,56.28188681468178
24,Female,55.30345476013438
25,Female,54.33156513822143
26,Female,53.349805449233955
27,Female,52.36804294131882
28,Female,51.38908757492853
29,Female,50.41585794684191
30,Female,49.43599891490232
31,Female,48.45647314597238
32,Female,47.48011044045839
33,Female,46.50936388799322
34,Female,45.53629657030389
35,Female,44.56616917777507
36,Female,43.61068978323829
37,Female,42.650488102195055
38,Female,41.69402000889223
39,Female,40.73586684339064
40,Female,39.78630955230102
41,Female,38.84666254494633
42,Female,37.897891603478
43,Female,36.96176922884076
44,Female,36.024136741729556
45,Female,35.09592566437037
46,Female,34.16999210812367
47,Female,33.24972337657359
48,Female,32.333963956013356
49,Female,31.41927669337405
50,Female,30.525418132518936
51,Female,29.632245585407993
52,Female,28.741968699031844
53,Female,27.860906116333858
54,Female,26.982490263283907
55,Female,26.117593427522156
56,Female,25.261305558395538
57,Female,24.411631692334097
58,Female,23.57371558298392
59,Female,22.741545334730098
60,Female,21.930860931924347
61,Female,21.10911006704287
62,Female,20.30402910574062
63,Female,19.50314761970236
64,Female,18.703528645081786
65,Female,17.919320036599288
66,Female,17.131659730278354
67,Female,16.35899095084985
68,Female,15.597000791263527
69,Female,14.848790791126607
70,Female,14.090387592092942
71,Female,13.35998705852937
72,Female,12.635038054195247
73,Female,11.926971181064767
74,Female,11.218918835048107
75,Female,10.53659570354239
76,Female,9.876115504824313
77,Female,9.23836605402454
78,Female,8.625358536365551
79,Female,8.034108401703781
80,Female,7.468086301779009
81,Female,6.933514590309017
82,Female,6.438714128415941
83,Female,5.9651999965729665
84,Female,5.5268351508451845
85,Female,5.130307295570702
86,Female,4.7445417203283755
87,Female,4.375969791030363
88,Female,4.024890871359245
89,Female,3.7222780833861786
90,Female,3.415772493947299
91,Female,3.1606981238208536
92,Female,2.9365812563709004
93,Female,2.73570065809385
94,Female,2.5469096423756965
95,Female,2.324532225594613
96,Female,2.1297381449151915
97,Female,1.8865680668327764
98,Female,1.5851981262437815
99,Female,1.1425571688011626
