Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,Cyprus,2020,244.0,227.0,193.0,221.0,222.0,222.0,221.79999999999998,12.2,1.96,10.7,211.1,232.49999999999997,22.2,10.7,10.0,5.1,221.8 (±10.7),22.2 (±10.7),10.0% (±5.1%),30090,73.8,35.5,73.8(±35.5)
Female,Cyprus,2020,244.0,227.0,193.0,221.0,222.0,222.0,221.79999999999998,12.2,1.96,10.7,211.1,232.49999999999997,22.2,10.7,10.0,5.1,221.8 (±10.7),22.2 (±10.7),10.0% (±5.1%),27062,82.0,39.6,82.0(±39.6)
Female,Cyprus,2020,244.0,227.0,193.0,221.0,222.0,222.0,221.79999999999998,12.2,1.96,10.7,211.1,232.49999999999997,22.2,10.7,10.0,5.1,221.8 (±10.7),22.2 (±10.7),10.0% (±5.1%),26641,83.3,40.2,83.3(±40.2)
Female,Cyprus,2020,244.0,227.0,193.0,221.0,222.0,222.0,221.79999999999998,12.2,1.96,10.7,211.1,232.49999999999997,22.2,10.7,10.0,5.1,221.8 (±10.7),22.2 (±10.7),10.0% (±5.1%),27617,80.4,38.7,80.4(±38.7)
Female,Cyprus,2020,244.0,227.0,193.0,221.0,222.0,222.0,221.79999999999998,12.2,1.96,10.7,211.1,232.49999999999997,22.2,10.7,10.0,5.1,221.8 (±10.7),22.2 (±10.7),10.0% (±5.1%),25233,88.0,42.4,88.0(±42.4)
Female,Czechia,2020,4800.0,4887.0,4580.0,4467.0,4488.0,4386.0,4657.5999999999985,174.0,1.96,152.5,4505.0999999999985,4810.0999999999985,142.4,152.5,3.1,3.3,4657.6 (±152.5),142.4 (±152.5),3.1% (±3.3%),448510,31.7,34.1,31.7(±34.1)
Female,Czechia,2020,4800.0,4887.0,4580.0,4467.0,4488.0,4386.0,4657.5999999999985,174.0,1.96,152.5,4505.0999999999985,4810.0999999999985,142.4,152.5,3.1,3.3,4657.6 (±152.5),142.4 (±152.5),3.1% (±3.3%),408110,34.9,37.4,34.9(±37.4)
Female,Czechia,2020,4800.0,4887.0,4580.0,4467.0,4488.0,4386.0,4657.5999999999985,174.0,1.96,152.5,4505.0999999999985,4810.0999999999985,142.4,152.5,3.1,3.3,4657.6 (±152.5),142.4 (±152.5),3.1% (±3.3%),336357,42.3,45.4,42.3(±45.4)
Female,Czechia,2020,4800.0,4887.0,4580.0,4467.0,4488.0,4386.0,4657.5999999999985,174.0,1.96,152.5,4505.0999999999985,4810.0999999999985,142.4,152.5,3.1,3.3,4657.6 (±152.5),142.4 (±152.5),3.1% (±3.3%),325425,43.8,46.8,43.8(±46.8)
Female,Czechia,2020,4800.0,4887.0,4580.0,4467.0,4488.0,4386.0,4657.5999999999985,174.0,1.96,152.5,4505.0999999999985,4810.0999999999985,142.4,152.5,3.1,3.3,4657.6 (±152.5),142.4 (±152.5),3.1% (±3.3%),335147,42.5,45.5,42.5(±45.5)
Female,Denmark,2020,2173.0,2519.0,2444.0,2220.0,2250.0,2121.0,2364.4,147.7,1.96,129.5,2234.9,2493.9,-191.4,129.5,-8.1,4.8,2364.4 (±129.5),-191.4 (±129.5),-8.1% (±4.8%),181674,-105.4,71.3,-105.4(±71.3)
Female,Denmark,2020,2173.0,2519.0,2444.0,2220.0,2250.0,2121.0,2364.4,147.7,1.96,129.5,2234.9,2493.9,-191.4,129.5,-8.1,4.8,2364.4 (±129.5),-191.4 (±129.5),-8.1% (±4.8%),195744,-97.8,66.2,-97.8(±66.2)
Female,Denmark,2020,2173.0,2519.0,2444.0,2220.0,2250.0,2121.0,2364.4,147.7,1.96,129.5,2234.9,2493.9,-191.4,129.5,-8.1,4.8,2364.4 (±129.5),-191.4 (±129.5),-8.1% (±4.8%),204373,-93.7,63.4,-93.7(±63.4)
Female,Denmark,2020,2173.0,2519.0,2444.0,2220.0,2250.0,2121.0,2364.4,147.7,1.96,129.5,2234.9,2493.9,-191.4,129.5,-8.1,4.8,2364.4 (±129.5),-191.4 (±129.5),-8.1% (±4.8%),193719,-98.8,66.8,-98.8(±66.8)
Female,Denmark,2020,2173.0,2519.0,2444.0,2220.0,2250.0,2121.0,2364.4,147.7,1.96,129.5,2234.9,2493.9,-191.4,129.5,-8.1,4.8,2364.4 (±129.5),-191.4 (±129.5),-8.1% (±4.8%),173710,-110.2,74.6,-110.2(±74.6)
