Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,Austria,2020,10,10.0,4.0,9.0,4.0,7.0,5.0,5.8,1.9,1.96,1.7,4.1,7.5,4.2,1.7,72.4,39.1,5.8 (±1.7),4.2 (±1.7),72.4% (±39.1%),298547,1.4,0.6,1.4(±0.6)
Female,Austria,2020,10,10.0,4.0,9.0,4.0,7.0,5.0,5.8,1.9,1.96,1.7,4.1,7.5,4.2,1.7,72.4,39.1,5.8 (±1.7),4.2 (±1.7),72.4% (±39.1%),302843,1.4,0.5,1.4(±0.5)
Female,Austria,2020,11,4.0,5.0,4.0,4.0,3.0,4.0,4.0,0.6,1.96,0.5,3.5,4.5,0.0,0.5,0.0,11.1,4.0 (±0.5),0.0 (±0.5),0.0% (±11.1%),298547,0.0,0.2,0.0(±0.2)
Female,Austria,2020,11,4.0,5.0,4.0,4.0,3.0,4.0,4.0,0.6,1.96,0.5,3.5,4.5,0.0,0.5,0.0,11.1,4.0 (±0.5),0.0 (±0.5),0.0% (±11.1%),302843,0.0,0.2,0.0(±0.2)
Female,Austria,2020,12,6.0,1.0,6.0,5.0,3.0,2.0,3.4,1.9,1.96,1.7,1.7,5.1,2.6,1.7,76.5,58.9,3.4 (±1.7),2.6 (±1.7),76.5% (±58.9%),298547,0.9,0.5,0.9(±0.5)
Female,Austria,2020,12,6.0,1.0,6.0,5.0,3.0,2.0,3.4,1.9,1.96,1.7,1.7,5.1,2.6,1.7,76.5,58.9,3.4 (±1.7),2.6 (±1.7),76.5% (±58.9%),302843,0.9,0.5,0.9(±0.5)
Female,Austria,2020,13,4.0,7.0,5.0,6.0,5.0,7.0,6.0,0.9,1.96,0.8,5.2,6.8,-2.0,0.8,-33.3,7.9,6.0 (±0.8),-2.0 (±0.8),-33.3% (±7.9%),298547,-0.7,0.3,-0.7(±0.3)
Female,Austria,2020,13,4.0,7.0,5.0,6.0,5.0,7.0,6.0,0.9,1.96,0.8,5.2,6.8,-2.0,0.8,-33.3,7.9,6.0 (±0.8),-2.0 (±0.8),-33.3% (±7.9%),302843,-0.7,0.3,-0.7(±0.3)
Female,Austria,2020,14,2.0,3.0,4.0,4.0,4.0,3.0,3.6,0.5,1.96,0.4,3.2,4.0,-1.6,0.4,-44.4,5.6,3.6 (±0.4),-1.6 (±0.4),-44.4% (±5.6%),298547,-0.5,0.1,-0.5(±0.1)
Female,Austria,2020,14,2.0,3.0,4.0,4.0,4.0,3.0,3.6,0.5,1.96,0.4,3.2,4.0,-1.6,0.4,-44.4,5.6,3.6 (±0.4),-1.6 (±0.4),-44.4% (±5.6%),302843,-0.5,0.1,-0.5(±0.1)
