Sex,Location,Year,Week,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Burgas,2020,36,3,3.0,5.0,7.0,4.0,2.0,4.2,1.7,1.96,1.5,2.7,5.7,-1.2,1.5,-28.6,18.8,4.2 (±1.5),-1.2 (±1.5),-28.6% (±18.8%)
Female,Burgas,2020,37,1,6.0,1.0,1.0,1.0,4.0,2.6,2.1,1.96,1.8,0.8,4.4,-1.6,1.8,-61.5,15.8,2.6 (±1.8),-1.6 (±1.8),-61.5% (±15.8%)
Female,Burgas,2020,38,6,7.0,4.0,6.0,2.0,6.0,5.0,1.8,1.96,1.6,3.4,6.6,1.0,1.6,20.0,29.1,5.0 (±1.6),1.0 (±1.6),20.0% (±29.1%)
Female,Burgas,2020,39,4,4.0,2.0,1.0,3.0,3.0,2.6,1.0,1.96,0.9,1.7000000000000002,3.5,1.4,0.9,53.8,39.5,2.6 (±0.9),1.4 (±0.9),53.8% (±39.5%)
Female,Burgas,2020,40,3,3.0,3.0,2.0,3.0,8.0,3.8,2.1,1.96,1.8,1.9999999999999998,5.6,-0.8,1.8,-21.1,25.3,3.8 (±1.8),-0.8 (±1.8),-21.1% (±25.3%)
Female,Burgas,2020,41,4,6.0,4.0,1.0,6.0,3.0,4.0,1.9,1.96,1.7,2.3,5.7,0.0,1.7,0.0,29.8,4.0 (±1.7),0.0 (±1.7),0.0% (±29.8%)
Female,Burgas,2020,42,3,5.0,4.0,3.0,6.0,3.0,4.2,1.2,1.96,1.1,3.1,5.300000000000001,-1.2,1.1,-28.6,14.8,4.2 (±1.1),-1.2 (±1.1),-28.6% (±14.8%)
Female,Burgas,2020,43,3,2.0,4.0,6.0,3.0,4.0,3.8,1.3,1.96,1.1,2.6999999999999997,4.9,-0.8,1.1,-21.1,17.7,3.8 (±1.1),-0.8 (±1.1),-21.1% (±17.7%)
Female,Burgas,2020,44,5,5.0,2.0,4.0,2.0,7.0,4.0,1.9,1.96,1.7,2.3,5.7,1.0,1.7,25.0,37.3,4.0 (±1.7),1.0 (±1.7),25.0% (±37.3%)
Female,Burgas,2020,45,2,3.0,3.0,2.0,3.0,3.0,2.8,0.4,1.96,0.4,2.4,3.1999999999999997,-0.8,0.4,-28.6,8.9,2.8 (±0.4),-0.8 (±0.4),-28.6% (±8.9%)
Female,Burgas,2020,46,6,3.0,5.0,4.0,3.0,1.0,3.2,1.3,1.96,1.1,2.1,4.300000000000001,2.8,1.1,87.5,48.0,3.2 (±1.1),2.8 (±1.1),87.5% (±48.0%)
Female,Burgas,2020,47,5,3.0,2.0,6.0,5.0,4.0,4.0,1.4,1.96,1.2,2.8,5.2,1.0,1.2,25.0,28.8,4.0 (±1.2),1.0 (±1.2),25.0% (±28.8%)
Female,Burgas,2020,48,8,3.0,2.0,0.0,6.0,4.0,3.0,2.0,1.96,1.8,1.2,4.8,5.0,1.8,166.7,100.0,3.0 (±1.8),5.0 (±1.8),166.7% (±100.0%)
Female,Burgas,2020,49,7,2.0,7.0,3.0,7.0,1.0,4.0,2.5,1.96,2.2,1.7999999999999998,6.2,3.0,2.2,75.0,62.1,4.0 (±2.2),3.0 (±2.2),75.0% (±62.1%)
Female,Burgas,2020,50,5,5.0,1.0,3.0,3.0,5.0,3.4,1.5,1.96,1.3,2.0999999999999996,4.7,1.6,1.3,47.1,40.7,3.4 (±1.3),1.6 (±1.3),47.1% (±40.7%)
