Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Female,Blagoevgrad,2020,281,187.0,169.0,181.0,194.0,178.0,184.2,8.4,1.96,7.4,176.79999999999998,191.6,96.8,7.4,52.6,5.9,184.2 (±7.4),96.8 (±7.4),52.6% (±5.9%)
Female,Bulgaria,2020,6255,5295.0,5236.0,5129.0,5090.0,4720.0,5185.200000000001,200.8,1.96,176.0,5009.200000000001,5361.200000000001,1069.8,176.0,20.6,3.9,5185.2 (±176.0),1069.8 (±176.0),20.6% (±3.9%)
Female,Burgas,2020,356,302.0,300.0,270.0,288.0,299.0,296.59999999999997,11.9,1.96,10.4,286.2,306.99999999999994,59.4,10.4,20.0,4.0,296.6 (±10.4),59.4 (±10.4),20.0% (±4.0%)
Female,Dobrich,2020,207,158.0,139.0,158.0,151.0,136.0,152.4,9.3,1.96,8.2,144.20000000000002,160.6,54.6,8.2,35.8,6.9,152.4 (±8.2),54.6 (±8.2),35.8% (±6.9%)
Female,Gabrovo,2020,106,70.0,82.0,94.0,84.0,72.0,81.20000000000002,8.7,1.96,7.6,73.60000000000002,88.80000000000001,24.8,7.6,30.5,11.1,81.2 (±7.6),24.8 (±7.6),30.5% (±11.1%)
Female,Haskovo,2020,207,172.0,187.0,151.0,141.0,168.0,166.2,16.2,1.96,14.2,152.0,180.39999999999998,40.8,14.2,24.5,9.8,166.2 (±14.2),40.8 (±14.2),24.5% (±9.8%)
Female,Kardzhali,2020,113,89.0,93.0,79.0,73.0,79.0,82.60000000000001,7.3,1.96,6.4,76.2,89.00000000000001,30.4,6.4,36.8,9.8,82.6 (±6.4),30.4 (±6.4),36.8% (±9.8%)
Female,Kyustendil,2020,143,113.0,116.0,95.0,102.0,91.0,104.19999999999999,9.8,1.96,8.6,95.6,112.79999999999998,38.8,8.6,37.2,10.4,104.2 (±8.6),38.8 (±8.6),37.2% (±10.4%)
Female,Lovech,2020,120,99.0,93.0,105.0,102.0,92.0,99.80000000000001,5.0,1.96,4.4,95.4,104.20000000000002,20.2,4.4,20.2,5.0,99.8 (±4.4),20.2 (±4.4),20.2% (±5.0%)
Female,Montana,2020,140,113.0,119.0,124.0,117.0,108.0,116.19999999999999,5.4,1.96,4.7,111.49999999999999,120.89999999999999,23.8,4.7,20.5,4.7,116.2 (±4.7),23.8 (±4.7),20.5% (±4.7%)
Female,Pazardzhik,2020,273,192.0,183.0,201.0,198.0,196.0,196.4,6.2,1.96,5.4,191.0,201.8,76.6,5.4,39.0,3.7,196.4 (±5.4),76.6 (±5.4),39.0% (±3.7%)
Female,Pernik,2020,141,121.0,94.0,103.0,99.0,112.0,109.80000000000001,9.6,1.96,8.4,101.4,118.20000000000002,31.2,8.4,28.4,9.1,109.8 (±8.4),31.2 (±8.4),28.4% (±9.1%)
Female,Pleven,2020,217,189.0,205.0,181.0,191.0,164.0,189.2,13.4,1.96,11.7,177.5,200.89999999999998,27.8,11.7,14.7,6.7,189.2 (±11.7),27.8 (±11.7),14.7% (±6.7%)
Female,Plovdiv,2020,561,441.0,484.0,428.0,419.0,388.0,438.4000000000001,31.3,1.96,27.4,411.0000000000001,465.80000000000007,122.6,27.4,28.0,7.6,438.4 (±27.4),122.6 (±27.4),28.0% (±7.6%)
Female,Razgrad,2020,125,103.0,102.0,110.0,77.0,73.0,96.2,15.0,1.96,13.1,83.10000000000001,109.3,28.8,13.1,29.9,15.5,96.2 (±13.1),28.8 (±13.1),29.9% (±15.5%)
Female,Ruse,2020,185,176.0,166.0,160.0,179.0,159.0,171.2,8.2,1.96,7.2,164.0,178.39999999999998,13.8,7.2,8.1,4.4,171.2 (±7.2),13.8 (±7.2),8.1% (±4.4%)
Female,Severen tsentralen,2020,726,630.0,596.0,650.0,606.0,549.0,618.1999999999999,34.2,1.96,30.0,588.1999999999999,648.1999999999999,107.8,30.0,17.4,5.4,618.2 (±30.0),107.8 (±30.0),17.4% (±5.4%)
Female,Severna i yugoiztochna Bulgaria,2020,3324,2844.0,2735.0,2787.0,2692.0,2499.0,2762.600000000001,117.8,1.96,103.3,2659.3000000000006,2865.900000000001,561.4,103.3,20.3,4.3,2762.6 (±103.3),561.4 (±103.3),20.3% (±4.3%)
Female,Severoiztochen,2020,901,723.0,682.0,702.0,685.0,637.0,702.5999999999998,28.4,1.96,24.9,677.6999999999998,727.4999999999998,198.4,24.9,28.2,4.4,702.6 (±24.9),198.4 (±24.9),28.2% (±4.4%)
Female,Severozapaden,2020,726,638.0,662.0,654.0,636.0,577.0,641.3999999999999,29.8,1.96,26.1,615.2999999999998,667.4999999999999,84.6,26.1,13.2,4.4,641.4 (±26.1),84.6 (±26.1),13.2% (±4.4%)
Female,Shumen,2020,190,170.0,133.0,158.0,132.0,127.0,148.0,16.9,1.96,14.8,133.2,162.8,42.0,14.8,28.4,11.7,148.0 (±14.8),42.0 (±14.8),28.4% (±11.7%)
Female,Silistra,2020,130,97.0,72.0,96.0,85.0,73.0,86.2,10.7,1.96,9.4,76.8,95.60000000000001,43.8,9.4,50.8,14.8,86.2 (±9.4),43.8 (±9.4),50.8% (±14.8%)
Female,Sliven,2020,204,177.0,148.0,175.0,145.0,141.0,161.2,15.5,1.96,13.6,147.6,174.79999999999998,42.8,13.6,26.6,9.9,161.2 (±13.6),42.8 (±13.6),26.6% (±9.9%)
Female,Smolyan,2020,90,90.0,66.0,66.0,78.0,74.0,75.59999999999998,8.9,1.96,7.8,67.79999999999998,83.39999999999998,14.4,7.8,19.0,11.1,75.6 (±7.8),14.4 (±7.8),19.0% (±11.1%)
Female,Sofia,2020,215,175.0,221.0,182.0,210.0,175.0,195.79999999999998,19.2,1.96,16.8,178.99999999999997,212.6,19.2,16.8,9.8,8.7,195.8 (±16.8),19.2 (±16.8),9.8% (±8.7%)
Female,Sofia (stolitsa),2020,907,871.0,888.0,856.0,884.0,760.0,869.4000000000001,47.2,1.96,41.4,828.0000000000001,910.8000000000001,37.6,41.4,4.3,4.7,869.4 (±41.4),37.6 (±41.4),4.3% (±4.7%)
Female,Stara Zagora,2020,292,260.0,267.0,243.0,240.0,215.0,249.00000000000006,18.1,1.96,15.9,233.10000000000005,264.90000000000003,43.0,15.9,17.3,7.1,249.0 (±15.9),43.0 (±15.9),17.3% (±7.1%)
Female,Targovishte,2020,132,89.0,98.0,82.0,98.0,101.0,96.8,7.1,1.96,6.2,90.6,103.0,35.2,6.2,36.4,8.2,96.8 (±6.2),35.2 (±6.2),36.4% (±8.2%)
Female,Varna,2020,372,306.0,312.0,304.0,304.0,273.0,305.4,13.7,1.96,12.0,293.4,317.4,66.6,12.0,21.8,4.6,305.4 (±12.0),66.6 (±12.0),21.8% (±4.6%)
Female,Veliko Tarnovo,2020,180,184.0,174.0,190.0,181.0,172.0,183.39999999999998,6.6,1.96,5.8,177.59999999999997,189.2,-3.4,5.8,-1.9,3.0,183.4 (±5.8),-3.4 (±5.8),-1.9% (±3.0%)
Female,Vidin,2020,79,73.0,77.0,79.0,70.0,83.0,76.40000000000002,4.5,1.96,3.9,72.50000000000001,80.30000000000003,2.6,3.9,3.4,5.0,76.4 (±3.9),2.6 (±3.9),3.4% (±5.0%)
Female,Vratsa,2020,170,164.0,168.0,165.0,156.0,130.0,159.8,13.9,1.96,12.2,147.60000000000002,172.0,10.2,12.2,6.4,7.6,159.8 (±12.2),10.2 (±12.2),6.4% (±7.6%)
Female,Yambol,2020,119,114.0,80.0,93.0,92.0,81.0,93.60000000000002,12.2,1.96,10.7,82.90000000000002,104.30000000000003,25.4,10.7,27.1,13.0,93.6 (±10.7),25.4 (±10.7),27.1% (±13.0%)
Female,Yugoiztochen,2020,971,853.0,795.0,781.0,765.0,736.0,800.4000000000002,38.8,1.96,34.0,766.4000000000002,834.4000000000002,170.6,34.0,21.3,4.9,800.4 (±34.0),170.6 (±34.0),21.3% (±4.9%)
Female,Yugozapaden,2020,1687,1467.0,1488.0,1417.0,1489.0,1316.0,1463.3999999999999,65.2,1.96,57.2,1406.1999999999998,1520.6,223.6,57.2,15.3,4.4,1463.4 (±57.2),223.6 (±57.2),15.3% (±4.4%)
Female,Yugozapadna i yuzhna tsentralna Bulgaria,2020,2931,2451.0,2501.0,2342.0,2398.0,2221.0,2422.6,96.6,1.96,84.7,2337.9,2507.2999999999997,508.4,84.7,21.0,4.1,2422.6 (±84.7),508.4 (±84.7),21.0% (±4.1%)
Female,Yuzhen tsentralen,2020,1244,984.0,1013.0,925.0,909.0,905.0,959.1999999999999,43.4,1.96,38.0,921.1999999999999,997.1999999999999,284.8,38.0,29.7,5.0,959.2 (±38.0),284.8 (±38.0),29.7% (±5.0%)
Male,Blagoevgrad,2020,597,508.0,476.0,487.0,471.0,451.0,488.2,18.8,1.96,16.5,471.7,504.7,108.8,16.5,22.3,4.0,488.2 (±16.5),108.8 (±16.5),22.3% (±4.0%)
Male,Bulgaria,2020,13594,11830.0,11572.0,11075.0,11203.0,10867.0,11547.000000000002,347.0,1.96,304.2,11242.800000000001,11851.200000000003,2047.0,304.2,17.7,3.0,11547.0 (±304.2),2047.0 (±304.2),17.7% (±3.0%)
Male,Burgas,2020,720,679.0,610.0,621.0,633.0,640.0,651.0000000000002,23.6,1.96,20.7,630.3000000000002,671.7000000000003,69.0,20.7,10.6,3.4,651.0 (±20.7),69.0 (±20.7),10.6% (±3.4%)
Male,Dobrich,2020,395,378.0,356.0,347.0,320.0,327.0,352.7999999999999,20.8,1.96,18.2,334.5999999999999,370.9999999999999,42.2,18.2,12.0,5.5,352.8 (±18.2),42.2 (±18.2),12.0% (±5.5%)
Male,Gabrovo,2020,246,214.0,180.0,185.0,163.0,191.0,193.0,16.6,1.96,14.6,178.4,207.6,53.0,14.6,27.5,9.0,193.0 (±14.6),53.0 (±14.6),27.5% (±9.0%)
Male,Haskovo,2020,477,431.0,395.0,392.0,410.0,388.0,416.0,15.8,1.96,13.8,402.2,429.8,61.0,13.8,14.7,3.7,416.0 (±13.8),61.0 (±13.8),14.7% (±3.7%)
Male,Kardzhali,2020,228,205.0,216.0,201.0,219.0,203.0,214.39999999999998,7.3,1.96,6.4,207.99999999999997,220.79999999999998,13.6,6.4,6.3,3.0,214.4 (±6.4),13.6 (±6.4),6.3% (±3.0%)
Male,Kyustendil,2020,311,268.0,268.0,258.0,260.0,267.0,269.80000000000007,4.3,1.96,3.8,266.00000000000006,273.6000000000001,41.2,3.8,15.3,1.6,269.8 (±3.8),41.2 (±3.8),15.3% (±1.6%)
Male,Lovech,2020,264,255.0,273.0,229.0,229.0,227.0,248.99999999999997,18.4,1.96,16.1,232.89999999999998,265.09999999999997,15.0,16.1,6.0,6.4,249.0 (±16.1),15.0 (±16.1),6.0% (±6.4%)
Male,Montana,2020,325,252.0,308.0,249.0,250.0,260.0,267.79999999999995,22.4,1.96,19.6,248.19999999999996,287.4,57.2,19.6,21.4,8.3,267.8 (±19.6),57.2 (±19.6),21.4% (±8.3%)
Male,Pazardzhik,2020,595,480.0,418.0,444.0,416.0,422.0,447.19999999999993,24.2,1.96,21.2,425.99999999999994,468.3999999999999,147.8,21.2,33.1,6.1,447.2 (±21.2),147.8 (±21.2),33.1% (±6.1%)
Male,Pernik,2020,305,265.0,260.0,256.0,279.0,241.0,265.0,12.4,1.96,10.9,254.1,275.9,40.0,10.9,15.1,4.6,265.0 (±10.9),40.0 (±10.9),15.1% (±4.6%)
Male,Pleven,2020,486,432.0,424.0,379.0,428.0,409.0,416.80000000000007,19.3,1.96,16.9,399.9000000000001,433.70000000000005,69.2,16.9,16.6,4.5,416.8 (±16.9),69.2 (±16.9),16.6% (±4.5%)
Male,Plovdiv,2020,1218,1056.0,1069.0,937.0,1052.0,952.0,1034.0,56.6,1.96,49.6,984.4,1083.6,184.0,49.6,17.8,5.4,1034.0 (±49.6),184.0 (±49.6),17.8% (±5.4%)
Male,Razgrad,2020,276,224.0,225.0,259.0,210.0,196.0,225.19999999999996,21.0,1.96,18.4,206.79999999999995,243.59999999999997,50.8,18.4,22.6,9.3,225.2 (±18.4),50.8 (±18.4),22.6% (±9.3%)
Male,Ruse,2020,461,372.0,387.0,367.0,368.0,358.0,383.2,9.5,1.96,8.3,374.9,391.5,77.8,8.3,20.3,2.5,383.2 (±8.3),77.8 (±8.3),20.3% (±2.5%)
Male,Severen tsentralen,2020,1717,1471.0,1419.0,1441.0,1358.0,1318.0,1442.1999999999998,55.8,1.96,48.9,1393.2999999999997,1491.1,274.8,48.9,19.1,4.0,1442.2 (±48.9),274.8 (±48.9),19.1% (±4.0%)
Male,Severna i yugoiztochna Bulgaria,2020,7148,6273.0,6284.0,5874.0,5937.0,5806.0,6160.4,203.3,1.96,178.2,5982.2,6338.599999999999,987.6,178.2,16.0,3.2,6160.4 (±178.2),987.6 (±178.2),16.0% (±3.2%)
