Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Male,Severoiztochen,2020,1765,1603.0,1552.0,1434.0,1465.0,1461.0,1530.1999999999998,63.8,1.96,55.9,1474.2999999999997,1586.1,234.8,55.9,15.3,4.0,1530.2 (±55.9),234.8 (±55.9),15.3% (±4.0%)
Male,Severozapaden,2020,1695,1473.0,1536.0,1339.0,1398.0,1385.0,1444.6,69.8,1.96,61.2,1383.3999999999999,1505.8,250.4,61.2,17.3,4.7,1444.6 (±61.2),250.4 (±61.2),17.3% (±4.7%)
Male,Shumen,2020,361,328.0,299.0,260.0,323.0,304.0,307.6000000000001,24.0,1.96,21.0,286.6000000000001,328.6000000000001,53.4,21.0,17.4,7.5,307.6 (±21.0),53.4 (±21.0),17.4% (±7.5%)
Male,Silistra,2020,269,244.0,207.0,225.0,213.0,207.0,225.60000000000005,14.0,1.96,12.3,213.30000000000004,237.90000000000006,43.4,12.3,19.2,6.1,225.6 (±12.3),43.4 (±12.3),19.2% (±6.1%)
Male,Sliven,2020,355,292.0,342.0,340.0,308.0,296.0,319.6,21.4,1.96,18.8,300.8,338.40000000000003,35.4,18.8,11.1,6.2,319.6 (±18.8),35.4 (±18.8),11.1% (±6.2%)
Male,Smolyan,2020,241,201.0,172.0,190.0,188.0,195.0,190.80000000000004,9.7,1.96,8.5,182.30000000000004,199.30000000000004,50.2,8.5,26.3,5.4,190.8 (±8.5),50.2 (±8.5),26.3% (±5.4%)
Male,Sofia,2020,589,463.0,464.0,470.0,459.0,426.0,462.7999999999999,15.6,1.96,13.7,449.0999999999999,476.4999999999999,126.2,13.7,27.3,3.7,462.8 (±13.7),126.2 (±13.7),27.3% (±3.7%)
Male,Sofia (stolitsa),2020,1885,1680.0,1550.0,1566.0,1512.0,1516.0,1598.4,61.1,1.96,53.6,1544.8000000000002,1652.0,286.6,53.6,17.9,3.8,1598.4 (±53.6),286.6 (±53.6),17.9% (±3.8%)
Male,Stara Zagora,2020,646,534.0,597.0,483.0,536.0,503.0,547.4000000000002,38.7,1.96,33.9,513.5000000000002,581.3000000000002,98.6,33.9,18.0,6.9,547.4 (±33.9),98.6 (±33.9),18.0% (±6.9%)
Male,Targovishte,2020,231,209.0,199.0,187.0,190.0,199.0,202.4,7.8,1.96,6.8,195.6,209.20000000000002,28.6,6.8,14.1,3.7,202.4 (±6.8),28.6 (±6.8),14.1% (±3.7%)
Male,Varna,2020,778,688.0,698.0,640.0,632.0,631.0,667.4000000000001,29.1,1.96,25.5,641.9000000000001,692.9000000000001,110.6,25.5,16.6,4.3,667.4 (±25.5),110.6 (±25.5),16.6% (±4.3%)
Male,Veliko Tarnovo,2020,465,417.0,420.0,405.0,404.0,366.0,415.1999999999999,19.3,1.96,16.9,398.2999999999999,432.09999999999985,49.8,16.9,12.0,4.4,415.2 (±16.9),49.8 (±16.9),12.0% (±4.4%)
Male,Vidin,2020,202,179.0,169.0,161.0,181.0,175.0,176.20000000000002,7.3,1.96,6.4,169.8,182.60000000000002,25.8,6.4,14.6,4.0,176.2 (±6.4),25.8 (±6.4),14.6% (±4.0%)
Male,Vratsa,2020,418,355.0,362.0,321.0,310.0,314.0,334.8000000000001,21.7,1.96,19.0,315.8000000000001,353.8000000000001,83.2,19.0,24.9,6.8,334.8 (±19.0),83.2 (±19.0),24.9% (±6.8%)
Male,Yambol,2020,250,221.0,228.0,216.0,239.0,203.0,225.39999999999995,12.0,1.96,10.5,214.89999999999995,235.89999999999995,24.6,10.5,10.9,4.9,225.4 (±10.5),24.6 (±10.5),10.9% (±4.9%)
Male,Yugoiztochen,2020,1971,1726.0,1777.0,1660.0,1716.0,1642.0,1743.4000000000003,48.4,1.96,42.4,1701.0000000000002,1785.8000000000004,227.6,42.4,13.1,2.7,1743.4 (±42.4),227.6 (±42.4),13.1% (±2.7%)
Male,Yugozapaden,2020,3687,3184.0,3018.0,3037.0,2981.0,2901.0,3084.2000000000007,92.5,1.96,81.1,3003.100000000001,3165.3000000000006,602.8,81.1,19.5,3.0,3084.2 (±81.1),602.8 (±81.1),19.5% (±3.0%)
Male,Yugozapadna i yuzhna tsentralna Bulgaria,2020,6446,5557.0,5288.0,5201.0,5266.0,5061.0,5386.6,161.9,1.96,141.9,5244.700000000001,5528.5,1059.4,141.9,19.7,3.1,5386.6 (±141.9),1059.4 (±141.9),19.7% (±3.1%)
Male,Yuzhen tsentralen,2020,2759,2373.0,2270.0,2164.0,2285.0,2160.0,2302.3999999999996,80.3,1.96,70.4,2231.9999999999995,2372.7999999999997,456.6,70.4,19.8,3.5,2302.4 (±70.4),456.6 (±70.4),19.8% (±3.5%)
