Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
Male,Severen tsentralen,2020,78,71.0,82.0,58.0,70.0,66.0,70.2,7.8,1.96,6.8,63.400000000000006,77.0,7.8,6.8,11.1,9.8,70.2 (±6.8),7.8 (±6.8),11.1% (±9.8%)
Male,Severna i yugoiztochna Bulgaria,2020,372,363.0,391.0,337.0,363.0,335.0,364.20000000000005,20.5,1.96,18.0,346.20000000000005,382.20000000000005,7.8,18.0,2.1,4.8,364.2 (±18.0),7.8 (±18.0),2.1% (±4.8%)
Male,Severoiztochen,2020,90,101.0,113.0,90.0,113.0,100.0,106.59999999999998,8.7,1.96,7.6,98.99999999999999,114.19999999999997,-16.6,7.6,-15.6,5.6,106.6 (±7.6),-16.6 (±7.6),-15.6% (±5.6%)
Male,Severozapaden,2020,83,92.0,92.0,83.0,70.0,71.0,81.60000000000001,9.6,1.96,8.4,73.2,90.00000000000001,1.4,8.4,1.7,9.5,81.6 (±8.4),1.4 (±8.4),1.7% (±9.5%)
Male,Shumen,2020,15,11.0,21.0,11.0,24.0,18.0,16.999999999999996,5.3,1.96,4.6,12.399999999999997,21.599999999999994,-2.0,4.6,-11.8,18.8,17.0 (±4.6),-2.0 (±4.6),-11.8% (±18.8%)
Male,Silistra,2020,13,13.0,13.0,4.0,9.0,15.0,10.799999999999999,3.9,1.96,3.4,7.399999999999999,14.2,2.2,3.4,20.4,28.9,10.8 (±3.4),2.2 (±3.4),20.4% (±28.9%)
Male,Sliven,2020,25,23.0,21.0,28.0,31.0,22.0,25.0,3.8,1.96,3.3,21.7,28.3,0.0,3.3,0.0,11.7,25.0 (±3.3),0.0 (±3.3),0.0% (±11.7%)
Male,Smolyan,2020,10,7.0,11.0,9.0,13.0,3.0,8.6,3.4,1.96,3.0,5.6,11.6,1.4,3.0,16.3,30.1,8.6 (±3.0),1.4 (±3.0),16.3% (±30.1%)
Male,Sofia,2020,27,27.0,31.0,24.0,32.0,19.0,27.399999999999995,4.8,1.96,4.2,23.199999999999996,31.599999999999994,-0.4,4.2,-1.5,13.1,27.4 (±4.2),-0.4 (±4.2),-1.5% (±13.1%)
Male,Sofia (stolitsa),2020,167,145.0,148.0,123.0,143.0,134.0,144.20000000000002,9.1,1.96,8.0,136.20000000000002,152.20000000000002,22.8,8.0,15.8,6.1,144.2 (±8.0),22.8 (±8.0),15.8% (±6.1%)
Male,Stara Zagora,2020,33,33.0,27.0,32.0,30.0,30.0,31.200000000000006,2.1,1.96,1.8,29.400000000000006,33.00000000000001,1.8,1.8,5.8,5.8,31.2 (±1.8),1.8 (±1.8),5.8% (±5.8%)
Male,Targovishte,2020,12,11.0,12.0,9.0,14.0,8.0,11.599999999999998,2.1,1.96,1.8,9.799999999999997,13.399999999999999,0.4,1.8,3.4,13.8,11.6 (±1.8),0.4 (±1.8),3.4% (±13.8%)
Male,Varna,2020,43,57.0,62.0,47.0,48.0,51.0,53.800000000000004,5.7,1.96,5.0,48.800000000000004,58.800000000000004,-10.8,5.0,-20.1,6.8,53.8 (±5.0),-10.8 (±5.0),-20.1% (±6.8%)
Male,Veliko Tarnovo,2020,20,23.0,27.0,15.0,22.0,12.0,19.800000000000004,5.5,1.96,4.8,15.000000000000004,24.600000000000005,0.2,4.8,1.0,19.7,19.8 (±4.8),0.2 (±4.8),1.0% (±19.7%)
Male,Vidin,2020,14,15.0,11.0,6.0,14.0,6.0,10.4,3.8,1.96,3.3,7.1000000000000005,13.7,3.6,3.3,34.6,32.4,10.4 (±3.3),3.6 (±3.3),34.6% (±32.4%)
Male,Vratsa,2020,16,24.0,18.0,27.0,17.0,14.0,20.000000000000004,4.8,1.96,4.2,15.800000000000004,24.200000000000003,-4.0,4.2,-20.0,13.9,20.0 (±4.2),-4.0 (±4.2),-20.0% (±13.9%)
Male,Yambol,2020,9,7.0,13.0,10.0,12.0,13.0,10.999999999999996,2.3,1.96,2.0,8.999999999999996,12.999999999999996,-2.0,2.0,-18.2,12.6,11.0 (±2.0),-2.0 (±2.0),-18.2% (±12.6%)
Male,Yugoiztochen,2020,121,99.0,104.0,106.0,110.0,98.0,105.79999999999998,4.5,1.96,3.9,101.89999999999998,109.69999999999999,15.2,3.9,14.4,4.1,105.8 (±3.9),15.2 (±3.9),14.4% (±4.1%)
Male,Yugozapaden,2020,251,219.0,226.0,207.0,218.0,210.0,223.19999999999996,6.8,1.96,6.0,217.19999999999996,229.19999999999996,27.8,6.0,12.5,3.0,223.2 (±6.0),27.8 (±6.0),12.5% (±3.0%)
Male,Yugozapadna i yuzhna tsentralna Bulgaria,2020,420,377.0,378.0,332.0,364.0,344.0,367.8,18.2,1.96,16.0,351.8,383.8,52.2,16.0,14.2,4.8,367.8 (±16.0),52.2 (±16.0),14.2% (±4.8%)
Male,Yuzhen tsentralen,2020,169,158.0,152.0,125.0,146.0,134.0,144.6,12.0,1.96,10.5,134.1,155.1,24.4,10.5,16.9,7.9,144.6 (±10.5),24.4 (±10.5),16.9% (±7.9%)
