index,Age,Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
23,Total,Total,Smolyan,2020,1794,1346.0,1341.0,1396.0,1358.0,1307.0,1369.6,28.7,1.96,25.2,1344.3999999999999,1394.8,424.4,25.2,31.0,2.4,1369.6 (±25.2),424.4 (±25.2),31.0% (±2.4%)
24,Total,Total,Sofia,2020,4178,3458.0,3456.0,3419.0,3399.0,3308.0,3477.5999999999995,54.8,1.96,48.0,3429.5999999999995,3525.5999999999995,700.4,48.0,20.1,1.6,3477.6 (±48.0),700.4 (±48.0),20.1% (±1.6%)
25,Total,Total,Sofia (stolitsa),2020,15129,12899.0,12605.0,12183.0,12459.0,12476.0,12776.400000000001,232.4,1.96,203.7,12572.7,12980.100000000002,2352.6,203.7,18.4,1.8,12776.4 (±203.7),2352.6 (±203.7),18.4% (±1.8%)
26,Total,Total,Stara Zagora,2020,5046,4332.0,4148.0,4185.0,4242.0,4079.0,4278.799999999999,85.7,1.96,75.1,4203.699999999999,4353.9,767.2,75.1,17.9,2.0,4278.8 (±75.1),767.2 (±75.1),17.9% (±2.0%)
27,Total,Total,Targovishte,2020,1843,1549.0,1513.0,1477.0,1466.0,1460.0,1524.2,33.5,1.96,29.4,1494.8,1553.6000000000001,318.8,29.4,20.9,2.3,1524.2 (±29.4),318.8 (±29.4),20.9% (±2.3%)
28,Total,Total,Varna,2020,5892,4985.0,4947.0,4832.0,4946.0,4683.0,4986.599999999999,110.4,1.96,96.8,4889.799999999999,5083.4,905.4,96.8,18.2,2.3,4986.6 (±96.8),905.4 (±96.8),18.2% (±2.3%)
29,Total,Total,Veliko Tarnovo,2020,3827,3357.0,3293.0,3329.0,3267.0,3226.0,3360.0000000000005,45.9,1.96,40.2,3319.8000000000006,3400.2000000000003,467.0,40.2,13.9,1.3,3360.0 (±40.2),467.0 (±40.2),13.9% (±1.3%)
30,Total,Total,Vidin,2020,1933,1730.0,1652.0,1539.0,1596.0,1568.0,1646.6000000000001,67.7,1.96,59.3,1587.3000000000002,1705.9,286.4,59.3,17.4,4.1,1646.6 (±59.3),286.4 (±59.3),17.4% (±4.1%)
31,Total,Total,Vratsa,2020,3001,2756.0,2582.0,2620.0,2572.0,2499.0,2655.3999999999996,84.7,1.96,74.2,2581.2,2729.5999999999995,345.6,74.2,13.0,3.1,2655.4 (±74.2),345.6 (±74.2),13.0% (±3.1%)
32,Total,Total,Yambol,2020,2052,1936.0,1696.0,1678.0,1781.0,1677.0,1789.6,98.9,1.96,86.7,1702.8999999999999,1876.3,262.4,86.7,14.7,5.3,1789.6 (±86.7),262.4 (±86.7),14.7% (±5.3%)
33,Total,Total,Yugoiztochen,2020,15157,13187.0,12537.0,12583.0,12798.0,12531.0,12970.399999999998,249.8,1.96,219.0,12751.399999999998,13189.399999999998,2186.6,219.0,16.9,2.0,12970.4 (±219.0),2186.6 (±219.0),16.9% (±2.0%)
34,Total,Total,Yugozapaden,2020,28271,23698.0,23134.0,22677.0,22923.0,22784.0,23508.0,361.3,1.96,316.7,23191.3,23824.7,4763.0,316.7,20.3,1.6,23508.0 (±316.7),4763.0 (±316.7),20.3% (±1.6%)
35,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,2020,49742,41330.0,40245.0,39539.0,39816.0,39441.0,40874.2,687.1,1.96,602.3,40271.899999999994,41476.5,8867.8,602.3,21.7,1.8,40874.2 (±602.3),8867.8 (±602.3),21.7% (±1.8%)
36,Total,Total,Yuzhen tsentralen,2020,21471,17632.0,17111.0,16862.0,16893.0,16657.0,17366.199999999997,333.2,1.96,292.1,17074.1,17658.299999999996,4104.8,292.1,23.6,2.0,17366.2 (±292.1),4104.8 (±292.1),23.6% (±2.0%)
