Age,Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
(40-44),Female,Silistra,2020,10,97.0,72.0,96.0,85.0,73.0,86.2,10.7,1.96,9.4,76.8,95.60000000000001,-76.2,9.4,-88.4,1.1,86.2 (±9.4),-76.2 (±9.4),-88.4% (±1.1%)
(45-49),Female,Silistra,2020,11,97.0,72.0,96.0,85.0,73.0,86.2,10.7,1.96,9.4,76.8,95.60000000000001,-75.2,9.4,-87.2,1.3,86.2 (±9.4),-75.2 (±9.4),-87.2% (±1.3%)
(50-54),Female,Silistra,2020,24,97.0,72.0,96.0,85.0,73.0,86.2,10.7,1.96,9.4,76.8,95.60000000000001,-62.2,9.4,-72.2,2.7,86.2 (±9.4),-62.2 (±9.4),-72.2% (±2.7%)
(55-59),Female,Silistra,2020,33,97.0,72.0,96.0,85.0,73.0,86.2,10.7,1.96,9.4,76.8,95.60000000000001,-53.2,9.4,-61.7,3.8,86.2 (±9.4),-53.2 (±9.4),-61.7% (±3.8%)
(60-64),Female,Silistra,2020,52,97.0,72.0,96.0,85.0,73.0,86.2,10.7,1.96,9.4,76.8,95.60000000000001,-34.2,9.4,-39.7,5.9,86.2 (±9.4),-34.2 (±9.4),-39.7% (±5.9%)
(40-44),Female,Sliven,2020,19,177.0,148.0,175.0,145.0,141.0,161.2,15.5,1.96,13.6,147.6,174.79999999999998,-142.2,13.6,-88.2,0.9,161.2 (±13.6),-142.2 (±13.6),-88.2% (±0.9%)
(45-49),Female,Sliven,2020,17,177.0,148.0,175.0,145.0,141.0,161.2,15.5,1.96,13.6,147.6,174.79999999999998,-144.2,13.6,-89.5,0.8,161.2 (±13.6),-144.2 (±13.6),-89.5% (±0.8%)
(50-54),Female,Sliven,2020,32,177.0,148.0,175.0,145.0,141.0,161.2,15.5,1.96,13.6,147.6,174.79999999999998,-129.2,13.6,-80.1,1.6,161.2 (±13.6),-129.2 (±13.6),-80.1% (±1.6%)
(55-59),Female,Sliven,2020,51,177.0,148.0,175.0,145.0,141.0,161.2,15.5,1.96,13.6,147.6,174.79999999999998,-110.2,13.6,-68.4,2.4,161.2 (±13.6),-110.2 (±13.6),-68.4% (±2.4%)
(60-64),Female,Sliven,2020,85,177.0,148.0,175.0,145.0,141.0,161.2,15.5,1.96,13.6,147.6,174.79999999999998,-76.2,13.6,-47.3,4.1,161.2 (±13.6),-76.2 (±13.6),-47.3% (±4.1%)
(40-44),Female,Smolyan,2020,3,90.0,66.0,66.0,78.0,74.0,75.59999999999998,8.9,1.96,7.8,67.79999999999998,83.39999999999998,-72.6,7.8,-96.0,0.4,75.6 (±7.8),-72.6 (±7.8),-96.0% (±0.4%)
(45-49),Female,Smolyan,2020,7,90.0,66.0,66.0,78.0,74.0,75.59999999999998,8.9,1.96,7.8,67.79999999999998,83.39999999999998,-68.6,7.8,-90.7,0.9,75.6 (±7.8),-68.6 (±7.8),-90.7% (±0.9%)
(50-54),Female,Smolyan,2020,11,90.0,66.0,66.0,78.0,74.0,75.59999999999998,8.9,1.96,7.8,67.79999999999998,83.39999999999998,-64.6,7.8,-85.4,1.4,75.6 (±7.8),-64.6 (±7.8),-85.4% (±1.4%)
(55-59),Female,Smolyan,2020,31,90.0,66.0,66.0,78.0,74.0,75.59999999999998,8.9,1.96,7.8,67.79999999999998,83.39999999999998,-44.6,7.8,-59.0,3.8,75.6 (±7.8),-44.6 (±7.8),-59.0% (±3.8%)
(60-64),Female,Smolyan,2020,38,90.0,66.0,66.0,78.0,74.0,75.59999999999998,8.9,1.96,7.8,67.79999999999998,83.39999999999998,-37.6,7.8,-49.7,4.7,75.6 (±7.8),-37.6 (±7.8),-49.7% (±4.7%)
(40-44),Female,Sofia,2020,20,175.0,221.0,182.0,210.0,175.0,195.79999999999998,19.2,1.96,16.8,178.99999999999997,212.6,-175.8,16.8,-89.8,0.8,195.8 (±16.8),-175.8 (±16.8),-89.8% (±0.8%)
(45-49),Female,Sofia,2020,20,175.0,221.0,182.0,210.0,175.0,195.79999999999998,19.2,1.96,16.8,178.99999999999997,212.6,-175.8,16.8,-89.8,0.8,195.8 (±16.8),-175.8 (±16.8),-89.8% (±0.8%)
(50-54),Female,Sofia,2020,27,175.0,221.0,182.0,210.0,175.0,195.79999999999998,19.2,1.96,16.8,178.99999999999997,212.6,-168.8,16.8,-86.2,1.1,195.8 (±16.8),-168.8 (±16.8),-86.2% (±1.1%)
(55-59),Female,Sofia,2020,45,175.0,221.0,182.0,210.0,175.0,195.79999999999998,19.2,1.96,16.8,178.99999999999997,212.6,-150.8,16.8,-77.0,1.8,195.8 (±16.8),-150.8 (±16.8),-77.0% (±1.8%)
(60-64),Female,Sofia,2020,103,175.0,221.0,182.0,210.0,175.0,195.79999999999998,19.2,1.96,16.8,178.99999999999997,212.6,-92.8,16.8,-47.4,4.2,195.8 (±16.8),-92.8 (±16.8),-47.4% (±4.2%)
(40-44),Female,Sofia (stolitsa),2020,63,871.0,888.0,856.0,884.0,760.0,869.4000000000001,47.2,1.96,41.4,828.0000000000001,910.8000000000001,-806.4,41.4,-92.8,0.3,869.4 (±41.4),-806.4 (±41.4),-92.8% (±0.3%)
(45-49),Female,Sofia (stolitsa),2020,97,871.0,888.0,856.0,884.0,760.0,869.4000000000001,47.2,1.96,41.4,828.0000000000001,910.8000000000001,-772.4,41.4,-88.8,0.6,869.4 (±41.4),-772.4 (±41.4),-88.8% (±0.6%)
(50-54),Female,Sofia (stolitsa),2020,156,871.0,888.0,856.0,884.0,760.0,869.4000000000001,47.2,1.96,41.4,828.0000000000001,910.8000000000001,-713.4,41.4,-82.1,0.8,869.4 (±41.4),-713.4 (±41.4),-82.1% (±0.8%)
(55-59),Female,Sofia (stolitsa),2020,210,871.0,888.0,856.0,884.0,760.0,869.4000000000001,47.2,1.96,41.4,828.0000000000001,910.8000000000001,-659.4,41.4,-75.8,1.1,869.4 (±41.4),-659.4 (±41.4),-75.8% (±1.1%)
(60-64),Female,Sofia (stolitsa),2020,381,871.0,888.0,856.0,884.0,760.0,869.4000000000001,47.2,1.96,41.4,828.0000000000001,910.8000000000001,-488.4,41.4,-56.2,2.0,869.4 (±41.4),-488.4 (±41.4),-56.2% (±2.0%)
(40-44),Female,Stara Zagora,2020,15,260.0,267.0,243.0,240.0,215.0,249.00000000000006,18.1,1.96,15.9,233.10000000000005,264.90000000000003,-234.0,15.9,-94.0,0.3,249.0 (±15.9),-234.0 (±15.9),-94.0% (±0.3%)
(45-49),Female,Stara Zagora,2020,31,260.0,267.0,243.0,240.0,215.0,249.00000000000006,18.1,1.96,15.9,233.10000000000005,264.90000000000003,-218.0,15.9,-87.6,0.7,249.0 (±15.9),-218.0 (±15.9),-87.6% (±0.7%)
(50-54),Female,Stara Zagora,2020,54,260.0,267.0,243.0,240.0,215.0,249.00000000000006,18.1,1.96,15.9,233.10000000000005,264.90000000000003,-195.0,15.9,-78.3,1.3,249.0 (±15.9),-195.0 (±15.9),-78.3% (±1.3%)
(55-59),Female,Stara Zagora,2020,91,260.0,267.0,243.0,240.0,215.0,249.00000000000006,18.1,1.96,15.9,233.10000000000005,264.90000000000003,-158.0,15.9,-63.5,2.1,249.0 (±15.9),-158.0 (±15.9),-63.5% (±2.1%)
(60-64),Female,Stara Zagora,2020,101,260.0,267.0,243.0,240.0,215.0,249.00000000000006,18.1,1.96,15.9,233.10000000000005,264.90000000000003,-148.0,15.9,-59.4,2.5,249.0 (±15.9),-148.0 (±15.9),-59.4% (±2.5%)
(40-44),Female,Targovishte,2020,11,89.0,98.0,82.0,98.0,101.0,96.8,7.1,1.96,6.2,90.6,103.0,-85.8,6.2,-88.6,0.7,96.8 (±6.2),-85.8 (±6.2),-88.6% (±0.7%)
(45-49),Female,Targovishte,2020,15,89.0,98.0,82.0,98.0,101.0,96.8,7.1,1.96,6.2,90.6,103.0,-81.8,6.2,-84.5,0.9,96.8 (±6.2),-81.8 (±6.2),-84.5% (±0.9%)
(50-54),Female,Targovishte,2020,19,89.0,98.0,82.0,98.0,101.0,96.8,7.1,1.96,6.2,90.6,103.0,-77.8,6.2,-80.4,1.2,96.8 (±6.2),-77.8 (±6.2),-80.4% (±1.2%)
(55-59),Female,Targovishte,2020,39,89.0,98.0,82.0,98.0,101.0,96.8,7.1,1.96,6.2,90.6,103.0,-57.8,6.2,-59.7,2.4,96.8 (±6.2),-57.8 (±6.2),-59.7% (±2.4%)
(60-64),Female,Targovishte,2020,48,89.0,98.0,82.0,98.0,101.0,96.8,7.1,1.96,6.2,90.6,103.0,-48.8,6.2,-50.4,3.0,96.8 (±6.2),-48.8 (±6.2),-50.4% (±3.0%)
(40-44),Female,Varna,2020,25,306.0,312.0,304.0,304.0,273.0,305.4,13.7,1.96,12.0,293.4,317.4,-280.4,12.0,-91.8,0.3,305.4 (±12.0),-280.4 (±12.0),-91.8% (±0.3%)
(45-49),Female,Varna,2020,57,306.0,312.0,304.0,304.0,273.0,305.4,13.7,1.96,12.0,293.4,317.4,-248.4,12.0,-81.3,0.7,305.4 (±12.0),-248.4 (±12.0),-81.3% (±0.7%)
(50-54),Female,Varna,2020,58,306.0,312.0,304.0,304.0,273.0,305.4,13.7,1.96,12.0,293.4,317.4,-247.4,12.0,-81.0,0.7,305.4 (±12.0),-247.4 (±12.0),-81.0% (±0.7%)
(55-59),Female,Varna,2020,78,306.0,312.0,304.0,304.0,273.0,305.4,13.7,1.96,12.0,293.4,317.4,-227.4,12.0,-74.5,0.9,305.4 (±12.0),-227.4 (±12.0),-74.5% (±0.9%)
(60-64),Female,Varna,2020,154,306.0,312.0,304.0,304.0,273.0,305.4,13.7,1.96,12.0,293.4,317.4,-151.4,12.0,-49.6,1.9,305.4 (±12.0),-151.4 (±12.0),-49.6% (±1.9%)
(40-44),Female,Veliko Tarnovo,2020,9,184.0,174.0,190.0,181.0,172.0,183.39999999999998,6.6,1.96,5.8,177.59999999999997,189.2,-174.4,5.8,-95.1,0.1,183.4 (±5.8),-174.4 (±5.8),-95.1% (±0.1%)
(45-49),Female,Veliko Tarnovo,2020,17,184.0,174.0,190.0,181.0,172.0,183.39999999999998,6.6,1.96,5.8,177.59999999999997,189.2,-166.4,5.8,-90.7,0.3,183.4 (±5.8),-166.4 (±5.8),-90.7% (±0.3%)
(50-54),Female,Veliko Tarnovo,2020,27,184.0,174.0,190.0,181.0,172.0,183.39999999999998,6.6,1.96,5.8,177.59999999999997,189.2,-156.4,5.8,-85.3,0.4,183.4 (±5.8),-156.4 (±5.8),-85.3% (±0.4%)
(55-59),Female,Veliko Tarnovo,2020,46,184.0,174.0,190.0,181.0,172.0,183.39999999999998,6.6,1.96,5.8,177.59999999999997,189.2,-137.4,5.8,-74.9,0.8,183.4 (±5.8),-137.4 (±5.8),-74.9% (±0.8%)
(60-64),Female,Veliko Tarnovo,2020,81,184.0,174.0,190.0,181.0,172.0,183.39999999999998,6.6,1.96,5.8,177.59999999999997,189.2,-102.4,5.8,-55.8,1.4,183.4 (±5.8),-102.4 (±5.8),-55.8% (±1.4%)
(40-44),Female,Vidin,2020,4,73.0,77.0,79.0,70.0,83.0,76.40000000000002,4.5,1.96,3.9,72.50000000000001,80.30000000000003,-72.4,3.9,-94.8,0.2,76.4 (±3.9),-72.4 (±3.9),-94.8% (±0.2%)
(45-49),Female,Vidin,2020,6,73.0,77.0,79.0,70.0,83.0,76.40000000000002,4.5,1.96,3.9,72.50000000000001,80.30000000000003,-70.4,3.9,-92.1,0.4,76.4 (±3.9),-70.4 (±3.9),-92.1% (±0.4%)
(50-54),Female,Vidin,2020,12,73.0,77.0,79.0,70.0,83.0,76.40000000000002,4.5,1.96,3.9,72.50000000000001,80.30000000000003,-64.4,3.9,-84.3,0.8,76.4 (±3.9),-64.4 (±3.9),-84.3% (±0.8%)
(55-59),Female,Vidin,2020,27,73.0,77.0,79.0,70.0,83.0,76.40000000000002,4.5,1.96,3.9,72.50000000000001,80.30000000000003,-49.4,3.9,-64.7,1.7,76.4 (±3.9),-49.4 (±3.9),-64.7% (±1.7%)
(60-64),Female,Vidin,2020,30,73.0,77.0,79.0,70.0,83.0,76.40000000000002,4.5,1.96,3.9,72.50000000000001,80.30000000000003,-46.4,3.9,-60.7,1.9,76.4 (±3.9),-46.4 (±3.9),-60.7% (±1.9%)
(40-44),Female,Vratsa,2020,10,164.0,168.0,165.0,156.0,130.0,159.8,13.9,1.96,12.2,147.60000000000002,172.0,-149.8,12.2,-93.7,0.5,159.8 (±12.2),-149.8 (±12.2),-93.7% (±0.5%)
(45-49),Female,Vratsa,2020,21,164.0,168.0,165.0,156.0,130.0,159.8,13.9,1.96,12.2,147.60000000000002,172.0,-138.8,12.2,-86.9,0.9,159.8 (±12.2),-138.8 (±12.2),-86.9% (±0.9%)
(50-54),Female,Vratsa,2020,29,164.0,168.0,165.0,156.0,130.0,159.8,13.9,1.96,12.2,147.60000000000002,172.0,-130.8,12.2,-81.9,1.2,159.8 (±12.2),-130.8 (±12.2),-81.9% (±1.2%)
(55-59),Female,Vratsa,2020,45,164.0,168.0,165.0,156.0,130.0,159.8,13.9,1.96,12.2,147.60000000000002,172.0,-114.8,12.2,-71.8,2.0,159.8 (±12.2),-114.8 (±12.2),-71.8% (±2.0%)
(60-64),Female,Vratsa,2020,65,164.0,168.0,165.0,156.0,130.0,159.8,13.9,1.96,12.2,147.60000000000002,172.0,-94.8,12.2,-59.3,2.9,159.8 (±12.2),-94.8 (±12.2),-59.3% (±2.9%)
(40-44),Female,Yambol,2020,11,114.0,80.0,93.0,92.0,81.0,93.60000000000002,12.2,1.96,10.7,82.90000000000002,104.30000000000003,-82.6,10.7,-88.2,1.3,93.6 (±10.7),-82.6 (±10.7),-88.2% (±1.3%)
(45-49),Female,Yambol,2020,20,114.0,80.0,93.0,92.0,81.0,93.60000000000002,12.2,1.96,10.7,82.90000000000002,104.30000000000003,-73.6,10.7,-78.6,2.2,93.6 (±10.7),-73.6 (±10.7),-78.6% (±2.2%)
(50-54),Female,Yambol,2020,18,114.0,80.0,93.0,92.0,81.0,93.60000000000002,12.2,1.96,10.7,82.90000000000002,104.30000000000003,-75.6,10.7,-80.8,1.9,93.6 (±10.7),-75.6 (±10.7),-80.8% (±1.9%)
(55-59),Female,Yambol,2020,32,114.0,80.0,93.0,92.0,81.0,93.60000000000002,12.2,1.96,10.7,82.90000000000002,104.30000000000003,-61.6,10.7,-65.8,3.5,93.6 (±10.7),-61.6 (±10.7),-65.8% (±3.5%)
(60-64),Female,Yambol,2020,38,114.0,80.0,93.0,92.0,81.0,93.60000000000002,12.2,1.96,10.7,82.90000000000002,104.30000000000003,-55.6,10.7,-59.4,4.2,93.6 (±10.7),-55.6 (±10.7),-59.4% (±4.2%)
(40-44),Female,Yugoiztochen,2020,76,853.0,795.0,781.0,765.0,736.0,800.4000000000002,38.8,1.96,34.0,766.4000000000002,834.4000000000002,-724.4,34.0,-90.5,0.4,800.4 (±34.0),-724.4 (±34.0),-90.5% (±0.4%)
(45-49),Female,Yugoiztochen,2020,112,853.0,795.0,781.0,765.0,736.0,800.4000000000002,38.8,1.96,34.0,766.4000000000002,834.4000000000002,-688.4,34.0,-86.0,0.6,800.4 (±34.0),-688.4 (±34.0),-86.0% (±0.6%)
(50-54),Female,Yugoiztochen,2020,160,853.0,795.0,781.0,765.0,736.0,800.4000000000002,38.8,1.96,34.0,766.4000000000002,834.4000000000002,-640.4,34.0,-80.0,0.8,800.4 (±34.0),-640.4 (±34.0),-80.0% (±0.8%)
(55-59),Female,Yugoiztochen,2020,270,853.0,795.0,781.0,765.0,736.0,800.4000000000002,38.8,1.96,34.0,766.4000000000002,834.4000000000002,-530.4,34.0,-66.3,1.3,800.4 (±34.0),-530.4 (±34.0),-66.3% (±1.3%)
(60-64),Female,Yugoiztochen,2020,353,853.0,795.0,781.0,765.0,736.0,800.4000000000002,38.8,1.96,34.0,766.4000000000002,834.4000000000002,-447.4,34.0,-55.9,1.8,800.4 (±34.0),-447.4 (±34.0),-55.9% (±1.8%)
(40-44),Female,Yugozapaden,2020,110,1467.0,1488.0,1417.0,1489.0,1316.0,1463.3999999999999,65.2,1.96,57.2,1406.1999999999998,1520.6,-1353.4,57.2,-92.5,0.3,1463.4 (±57.2),-1353.4 (±57.2),-92.5% (±0.3%)
(45-49),Female,Yugozapaden,2020,160,1467.0,1488.0,1417.0,1489.0,1316.0,1463.3999999999999,65.2,1.96,57.2,1406.1999999999998,1520.6,-1303.4,57.2,-89.1,0.4,1463.4 (±57.2),-1303.4 (±57.2),-89.1% (±0.4%)
(50-54),Female,Yugozapaden,2020,265,1467.0,1488.0,1417.0,1489.0,1316.0,1463.3999999999999,65.2,1.96,57.2,1406.1999999999998,1520.6,-1198.4,57.2,-81.9,0.7,1463.4 (±57.2),-1198.4 (±57.2),-81.9% (±0.7%)
(55-59),Female,Yugozapaden,2020,401,1467.0,1488.0,1417.0,1489.0,1316.0,1463.3999999999999,65.2,1.96,57.2,1406.1999999999998,1520.6,-1062.4,57.2,-72.6,1.0,1463.4 (±57.2),-1062.4 (±57.2),-72.6% (±1.0%)
(60-64),Female,Yugozapaden,2020,751,1467.0,1488.0,1417.0,1489.0,1316.0,1463.3999999999999,65.2,1.96,57.2,1406.1999999999998,1520.6,-712.4,57.2,-48.7,1.9,1463.4 (±57.2),-712.4 (±57.2),-48.7% (±1.9%)
(40-44),Female,Yugozapadna i yuzhna tsentralna Bulgaria,2020,193,2451.0,2501.0,2342.0,2398.0,2221.0,2422.6,96.6,1.96,84.7,2337.9,2507.2999999999997,-2229.6,84.7,-92.0,0.3,2422.6 (±84.7),-2229.6 (±84.7),-92.0% (±0.3%)
(45-49),Female,Yugozapadna i yuzhna tsentralna Bulgaria,2020,282,2451.0,2501.0,2342.0,2398.0,2221.0,2422.6,96.6,1.96,84.7,2337.9,2507.2999999999997,-2140.6,84.7,-88.4,0.4,2422.6 (±84.7),-2140.6 (±84.7),-88.4% (±0.4%)
(50-54),Female,Yugozapadna i yuzhna tsentralna Bulgaria,2020,456,2451.0,2501.0,2342.0,2398.0,2221.0,2422.6,96.6,1.96,84.7,2337.9,2507.2999999999997,-1966.6,84.7,-81.2,0.6,2422.6 (±84.7),-1966.6 (±84.7),-81.2% (±0.6%)
(55-59),Female,Yugozapadna i yuzhna tsentralna Bulgaria,2020,720,2451.0,2501.0,2342.0,2398.0,2221.0,2422.6,96.6,1.96,84.7,2337.9,2507.2999999999997,-1702.6,84.7,-70.3,1.0,2422.6 (±84.7),-1702.6 (±84.7),-70.3% (±1.0%)
(60-64),Female,Yugozapadna i yuzhna tsentralna Bulgaria,2020,1280,2451.0,2501.0,2342.0,2398.0,2221.0,2422.6,96.6,1.96,84.7,2337.9,2507.2999999999997,-1142.6,84.7,-47.2,1.7,2422.6 (±84.7),-1142.6 (±84.7),-47.2% (±1.7%)
(40-44),Female,Yuzhen tsentralen,2020,83,984.0,1013.0,925.0,909.0,905.0,959.1999999999999,43.4,1.96,38.0,921.1999999999999,997.1999999999999,-876.2,38.0,-91.3,0.4,959.2 (±38.0),-876.2 (±38.0),-91.3% (±0.4%)
(45-49),Female,Yuzhen tsentralen,2020,122,984.0,1013.0,925.0,909.0,905.0,959.1999999999999,43.4,1.96,38.0,921.1999999999999,997.1999999999999,-837.2,38.0,-87.3,0.5,959.2 (±38.0),-837.2 (±38.0),-87.3% (±0.5%)
(50-54),Female,Yuzhen tsentralen,2020,191,984.0,1013.0,925.0,909.0,905.0,959.1999999999999,43.4,1.96,38.0,921.1999999999999,997.1999999999999,-768.2,38.0,-80.1,0.7,959.2 (±38.0),-768.2 (±38.0),-80.1% (±0.7%)
(55-59),Female,Yuzhen tsentralen,2020,319,984.0,1013.0,925.0,909.0,905.0,959.1999999999999,43.4,1.96,38.0,921.1999999999999,997.1999999999999,-640.2,38.0,-66.7,1.3,959.2 (±38.0),-640.2 (±38.0),-66.7% (±1.3%)
(60-64),Female,Yuzhen tsentralen,2020,529,984.0,1013.0,925.0,909.0,905.0,959.1999999999999,43.4,1.96,38.0,921.1999999999999,997.1999999999999,-430.2,38.0,-44.8,2.2,959.2 (±38.0),-430.2 (±38.0),-44.8% (±2.2%)
(40-44),Male,Blagoevgrad,2020,44,508.0,476.0,487.0,471.0,451.0,488.2,18.8,1.96,16.5,471.7,504.7,-444.2,16.5,-91.0,0.3,488.2 (±16.5),-444.2 (±16.5),-91.0% (±0.3%)
(45-49),Male,Blagoevgrad,2020,51,508.0,476.0,487.0,471.0,451.0,488.2,18.8,1.96,16.5,471.7,504.7,-437.2,16.5,-89.6,0.3,488.2 (±16.5),-437.2 (±16.5),-89.6% (±0.3%)
(50-54),Male,Blagoevgrad,2020,102,508.0,476.0,487.0,471.0,451.0,488.2,18.8,1.96,16.5,471.7,504.7,-386.2,16.5,-79.1,0.7,488.2 (±16.5),-386.2 (±16.5),-79.1% (±0.7%)
(55-59),Male,Blagoevgrad,2020,173,508.0,476.0,487.0,471.0,451.0,488.2,18.8,1.96,16.5,471.7,504.7,-315.2,16.5,-64.6,1.1,488.2 (±16.5),-315.2 (±16.5),-64.6% (±1.1%)
(60-64),Male,Blagoevgrad,2020,226,508.0,476.0,487.0,471.0,451.0,488.2,18.8,1.96,16.5,471.7,504.7,-262.2,16.5,-53.7,1.5,488.2 (±16.5),-262.2 (±16.5),-53.7% (±1.5%)
(40-44),Male,Bulgaria,2020,896,11830.0,11572.0,11075.0,11203.0,10867.0,11547.000000000002,347.0,1.96,304.2,11242.800000000001,11851.200000000003,-10651.0,304.2,-92.2,0.2,11547.0 (±304.2),-10651.0 (±304.2),-92.2% (±0.2%)
(45-49),Male,Bulgaria,2020,1509,11830.0,11572.0,11075.0,11203.0,10867.0,11547.000000000002,347.0,1.96,304.2,11242.800000000001,11851.200000000003,-10038.0,304.2,-86.9,0.4,11547.0 (±304.2),-10038.0 (±304.2),-86.9% (±0.4%)
(50-54),Male,Bulgaria,2020,2291,11830.0,11572.0,11075.0,11203.0,10867.0,11547.000000000002,347.0,1.96,304.2,11242.800000000001,11851.200000000003,-9256.0,304.2,-80.2,0.5,11547.0 (±304.2),-9256.0 (±304.2),-80.2% (±0.5%)
(55-59),Male,Bulgaria,2020,3619,11830.0,11572.0,11075.0,11203.0,10867.0,11547.000000000002,347.0,1.96,304.2,11242.800000000001,11851.200000000003,-7928.0,304.2,-68.7,0.8,11547.0 (±304.2),-7928.0 (±304.2),-68.7% (±0.8%)
(60-64),Male,Bulgaria,2020,5274,11830.0,11572.0,11075.0,11203.0,10867.0,11547.000000000002,347.0,1.96,304.2,11242.800000000001,11851.200000000003,-6273.0,304.2,-54.3,1.2,11547.0 (±304.2),-6273.0 (±304.2),-54.3% (±1.2%)
(40-44),Male,Burgas,2020,44,679.0,610.0,621.0,633.0,640.0,651.0000000000002,23.6,1.96,20.7,630.3000000000002,671.7000000000003,-607.0,20.7,-93.2,0.2,651.0 (±20.7),-607.0 (±20.7),-93.2% (±0.2%)
(45-49),Male,Burgas,2020,81,679.0,610.0,621.0,633.0,640.0,651.0000000000002,23.6,1.96,20.7,630.3000000000002,671.7000000000003,-570.0,20.7,-87.6,0.3,651.0 (±20.7),-570.0 (±20.7),-87.6% (±0.3%)
(50-54),Male,Burgas,2020,135,679.0,610.0,621.0,633.0,640.0,651.0000000000002,23.6,1.96,20.7,630.3000000000002,671.7000000000003,-516.0,20.7,-79.3,0.6,651.0 (±20.7),-516.0 (±20.7),-79.3% (±0.6%)
(55-59),Male,Burgas,2020,178,679.0,610.0,621.0,633.0,640.0,651.0000000000002,23.6,1.96,20.7,630.3000000000002,671.7000000000003,-473.0,20.7,-72.7,0.8,651.0 (±20.7),-473.0 (±20.7),-72.7% (±0.8%)
(60-64),Male,Burgas,2020,281,679.0,610.0,621.0,633.0,640.0,651.0000000000002,23.6,1.96,20.7,630.3000000000002,671.7000000000003,-370.0,20.7,-56.8,1.4,651.0 (±20.7),-370.0 (±20.7),-56.8% (±1.4%)
(40-44),Male,Dobrich,2020,26,378.0,356.0,347.0,320.0,327.0,352.7999999999999,20.8,1.96,18.2,334.5999999999999,370.9999999999999,-326.8,18.2,-92.6,0.4,352.8 (±18.2),-326.8 (±18.2),-92.6% (±0.4%)
(45-49),Male,Dobrich,2020,56,378.0,356.0,347.0,320.0,327.0,352.7999999999999,20.8,1.96,18.2,334.5999999999999,370.9999999999999,-296.8,18.2,-84.1,0.8,352.8 (±18.2),-296.8 (±18.2),-84.1% (±0.8%)
(50-54),Male,Dobrich,2020,61,378.0,356.0,347.0,320.0,327.0,352.7999999999999,20.8,1.96,18.2,334.5999999999999,370.9999999999999,-291.8,18.2,-82.7,0.9,352.8 (±18.2),-291.8 (±18.2),-82.7% (±0.9%)
(55-59),Male,Dobrich,2020,111,378.0,356.0,347.0,320.0,327.0,352.7999999999999,20.8,1.96,18.2,334.5999999999999,370.9999999999999,-241.8,18.2,-68.5,1.6,352.8 (±18.2),-241.8 (±18.2),-68.5% (±1.6%)
(60-64),Male,Dobrich,2020,139,378.0,356.0,347.0,320.0,327.0,352.7999999999999,20.8,1.96,18.2,334.5999999999999,370.9999999999999,-213.8,18.2,-60.6,1.9,352.8 (±18.2),-213.8 (±18.2),-60.6% (±1.9%)
(40-44),Male,Gabrovo,2020,12,214.0,180.0,185.0,163.0,191.0,193.0,16.6,1.96,14.6,178.4,207.6,-181.0,14.6,-93.8,0.4,193.0 (±14.6),-181.0 (±14.6),-93.8% (±0.4%)
(45-49),Male,Gabrovo,2020,22,214.0,180.0,185.0,163.0,191.0,193.0,16.6,1.96,14.6,178.4,207.6,-171.0,14.6,-88.6,0.8,193.0 (±14.6),-171.0 (±14.6),-88.6% (±0.8%)
(50-54),Male,Gabrovo,2020,37,214.0,180.0,185.0,163.0,191.0,193.0,16.6,1.96,14.6,178.4,207.6,-156.0,14.6,-80.8,1.4,193.0 (±14.6),-156.0 (±14.6),-80.8% (±1.4%)
(55-59),Male,Gabrovo,2020,60,214.0,180.0,185.0,163.0,191.0,193.0,16.6,1.96,14.6,178.4,207.6,-133.0,14.6,-68.9,2.2,193.0 (±14.6),-133.0 (±14.6),-68.9% (±2.2%)
(60-64),Male,Gabrovo,2020,115,214.0,180.0,185.0,163.0,191.0,193.0,16.6,1.96,14.6,178.4,207.6,-78.0,14.6,-40.4,4.2,193.0 (±14.6),-78.0 (±14.6),-40.4% (±4.2%)
(40-44),Male,Haskovo,2020,23,431.0,395.0,392.0,410.0,388.0,416.0,15.8,1.96,13.8,402.2,429.8,-393.0,13.8,-94.5,0.1,416.0 (±13.8),-393.0 (±13.8),-94.5% (±0.1%)
(45-49),Male,Haskovo,2020,54,431.0,395.0,392.0,410.0,388.0,416.0,15.8,1.96,13.8,402.2,429.8,-362.0,13.8,-87.0,0.4,416.0 (±13.8),-362.0 (±13.8),-87.0% (±0.4%)
(50-54),Male,Haskovo,2020,81,431.0,395.0,392.0,410.0,388.0,416.0,15.8,1.96,13.8,402.2,429.8,-335.0,13.8,-80.5,0.7,416.0 (±13.8),-335.0 (±13.8),-80.5% (±0.7%)
(55-59),Male,Haskovo,2020,120,431.0,395.0,392.0,410.0,388.0,416.0,15.8,1.96,13.8,402.2,429.8,-296.0,13.8,-71.2,0.9,416.0 (±13.8),-296.0 (±13.8),-71.2% (±0.9%)
(60-64),Male,Haskovo,2020,199,431.0,395.0,392.0,410.0,388.0,416.0,15.8,1.96,13.8,402.2,429.8,-217.0,13.8,-52.2,1.5,416.0 (±13.8),-217.0 (±13.8),-52.2% (±1.5%)
