index,Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
135,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,957,2020,13,1059.0,993.0,996.0,904.0,955.0,981.4,51.1,1.96,44.8,936.6,1026.2,-24.4,44.8,-2.5,4.2,981.4 (±44.8),-24.4 (±44.8),-2.5% (±4.2%)
136,Total,Total,Yugozapaden,546,2020,13,611.0,580.0,592.0,517.0,564.0,572.8,31.8,1.96,27.9,544.9,600.6999999999999,-26.8,27.9,-4.7,4.4,572.8 (±27.9),-26.8 (±27.9),-4.7% (±4.4%)
137,Total,Total,Sofia (stolitsa),329,2020,13,325.0,349.0,298.0,299.0,291.0,312.4,21.6,1.96,18.9,293.5,331.29999999999995,16.6,18.9,5.3,6.0,312.4 (±18.9),16.6 (±18.9),5.3% (±6.0%)
138,Total,Total,Sofia,71,2020,13,98.0,82.0,97.0,74.0,86.0,87.4,9.1,1.96,8.0,79.4,95.4,-16.4,8.0,-18.8,6.8,87.4 (±8.0),-16.4 (±8.0),-18.8% (±6.8%)
139,Total,Total,Blagoevgrad,70,2020,13,94.0,70.0,85.0,71.0,93.0,82.6,10.4,1.96,9.1,73.5,91.69999999999999,-12.6,9.1,-15.3,8.4,82.6 (±9.1),-12.6 (±9.1),-15.3% (±8.4%)
140,Total,Total,Pernik,32,2020,13,42.0,38.0,50.0,47.0,46.0,44.6,4.2,1.96,3.7,40.9,48.300000000000004,-12.6,3.7,-28.3,5.4,44.6 (±3.7),-12.6 (±3.7),-28.3% (±5.4%)
141,Total,Total,Kyustendil,44,2020,13,52.0,41.0,62.0,26.0,48.0,45.8,12.0,1.96,10.5,35.3,56.3,-1.8,10.5,-3.9,17.9,45.8 (±10.5),-1.8 (±10.5),-3.9% (±17.9%)
142,Total,Total,Yuzhen tsentralen,411,2020,13,448.0,413.0,404.0,387.0,391.0,408.6,21.8,1.96,19.1,389.5,427.70000000000005,2.4,19.1,0.6,4.5,408.6 (±19.1),2.4 (±19.1),0.6% (±4.5%)
143,Total,Total,Plovdiv,189,2020,13,196.0,207.0,180.0,171.0,205.0,191.8,14.1,1.96,12.4,179.4,204.20000000000002,-2.8,12.4,-1.5,5.9,191.8 (±12.4),-2.8 (±12.4),-1.5% (±5.9%)
144,Total,Total,Haskovo,87,2020,13,85.0,65.0,79.0,66.0,62.0,71.4,9.0,1.96,7.9,63.50000000000001,79.30000000000001,15.6,7.9,21.8,12.1,71.4 (±7.9),15.6 (±7.9),21.8% (±12.1%)
145,Total,Total,Pazardzhik,75,2020,13,97.0,74.0,81.0,82.0,63.0,79.4,11.1,1.96,9.7,69.7,89.10000000000001,-4.4,9.7,-5.5,10.3,79.4 (±9.7),-4.4 (±9.7),-5.5% (±10.3%)
146,Total,Total,Smolyan,36,2020,13,37.0,32.0,29.0,34.0,32.0,32.8,2.6,1.96,2.3,30.499999999999996,35.099999999999994,3.2,2.3,9.8,7.2,32.8 (±2.3),3.2 (±2.3),9.8% (±7.2%)
147,Total,Total,Kardzhali,24,2020,13,33.0,35.0,35.0,34.0,29.0,33.2,2.2,1.96,1.9,31.300000000000004,35.1,-9.2,1.9,-27.7,3.9,33.2 (±1.9),-9.2 (±1.9),-27.7% (±3.9%)
148,Total,Total,Bulgaria,2041,2020,14,2265.0,2125.0,2084.0,2076.0,2112.0,2132.4,68.7,1.96,60.2,2072.2000000000003,2192.6,-91.4,60.2,-4.3,2.6,2132.4 (±60.2),-91.4 (±60.2),-4.3% (±2.6%)
149,Total,Total,Severna i yugoiztochna Bulgaria,1058,2020,14,1217.0,1169.0,1140.0,1141.0,1131.0,1159.6,31.4,1.96,27.5,1132.1,1187.1,-101.6,27.5,-8.8,2.1,1159.6 (±27.5),-101.6 (±27.5),-8.8% (±2.1%)
150,Total,Total,Severozapaden,267,2020,14,304.0,293.0,293.0,288.0,331.0,301.8,15.5,1.96,13.6,288.2,315.40000000000003,-34.8,13.6,-11.5,3.8,301.8 (±13.6),-34.8 (±13.6),-11.5% (±3.8%)
151,Total,Total,Vidin,38,2020,14,37.0,34.0,29.0,41.0,50.0,38.2,7.1,1.96,6.2,32.0,44.400000000000006,-0.2,6.2,-0.5,13.9,38.2 (±6.2),-0.2 (±6.2),-0.5% (±13.9%)
152,Total,Total,Montana,49,2020,14,61.0,75.0,45.0,44.0,67.0,58.4,12.2,1.96,10.7,47.7,69.1,-9.4,10.7,-16.1,13.0,58.4 (±10.7),-9.4 (±10.7),-16.1% (±13.0%)
153,Total,Total,Vratsa,57,2020,14,63.0,67.0,65.0,58.0,58.0,62.2,3.7,1.96,3.2,59.0,65.4,-5.2,3.2,-8.4,4.4,62.2 (±3.2),-5.2 (±3.2),-8.4% (±4.4%)
154,Total,Total,Pleven,81,2020,14,92.0,82.0,93.0,96.0,100.0,92.6,6.0,1.96,5.3,87.3,97.89999999999999,-11.6,5.3,-12.5,4.8,92.6 (±5.3),-11.6 (±5.3),-12.5% (±4.8%)
155,Total,Total,Lovech,42,2020,14,51.0,35.0,61.0,49.0,56.0,50.4,8.8,1.96,7.7,42.699999999999996,58.1,-8.4,7.7,-16.7,11.0,50.4 (±7.7),-8.4 (±7.7),-16.7% (±11.0%)
156,Total,Total,Severen tsentralen,262,2020,14,288.0,282.0,263.0,268.0,266.0,273.4,9.8,1.96,8.6,264.79999999999995,282.0,-11.4,8.6,-4.2,2.9,273.4 (±8.6),-11.4 (±8.6),-4.2% (±2.9%)
157,Total,Total,Veliko Tarnovo,70,2020,14,87.0,86.0,89.0,73.0,82.0,83.4,5.7,1.96,5.0,78.4,88.4,-13.4,5.0,-16.1,4.7,83.4 (±5.0),-13.4 (±5.0),-16.1% (±4.7%)
158,Total,Total,Gabrovo,32,2020,14,47.0,41.0,44.0,34.0,33.0,39.8,5.5,1.96,4.8,35.0,44.599999999999994,-7.8,4.8,-19.6,8.7,39.8 (±4.8),-7.8 (±4.8),-19.6% (±8.7%)
159,Total,Total,Ruse,74,2020,14,80.0,77.0,59.0,86.0,75.0,75.4,9.0,1.96,7.9,67.5,83.30000000000001,-1.4,7.9,-1.9,9.3,75.4 (±7.9),-1.4 (±7.9),-1.9% (±9.3%)
160,Total,Total,Razgrad,43,2020,14,41.0,40.0,31.0,34.0,33.0,35.8,4.0,1.96,3.5,32.3,39.3,7.2,3.5,20.1,10.7,35.8 (±3.5),7.2 (±3.5),20.1% (±10.7%)
161,Total,Total,Silistra,43,2020,14,33.0,38.0,40.0,41.0,43.0,39.0,3.4,1.96,3.0,36.0,42.0,4.0,3.0,10.3,7.9,39.0 (±3.0),4.0 (±3.0),10.3% (±7.9%)
162,Total,Total,Severoiztochen,234,2020,14,310.0,279.0,261.0,258.0,262.0,274.0,19.4,1.96,17.0,257.0,291.0,-40.0,17.0,-14.6,5.0,274.0 (±17.0),-40.0 (±17.0),-14.6% (±5.0%)
163,Total,Total,Varna,116,2020,14,124.0,138.0,122.0,122.0,116.0,124.4,7.3,1.96,6.4,118.0,130.8,-8.4,6.4,-6.8,4.5,124.4 (±6.4),-8.4 (±6.4),-6.8% (±4.5%)
164,Total,Total,Dobrich,40,2020,14,74.0,55.0,51.0,57.0,54.0,58.2,8.1,1.96,7.1,51.1,65.3,-18.2,7.1,-31.3,7.4,58.2 (±7.1),-18.2 (±7.1),-31.3% (±7.4%)
165,Total,Total,Shumen,43,2020,14,60.0,54.0,41.0,40.0,47.0,48.4,7.7,1.96,6.7,41.699999999999996,55.1,-5.4,6.7,-11.2,10.8,48.4 (±6.7),-5.4 (±6.7),-11.2% (±10.8%)
166,Total,Total,Targovishte,35,2020,14,52.0,32.0,47.0,39.0,45.0,43.0,6.9,1.96,6.0,37.0,49.0,-8.0,6.0,-18.6,10.0,43.0 (±6.0),-8.0 (±6.0),-18.6% (±10.0%)
167,Total,Total,Yugoiztochen,295,2020,14,315.0,315.0,323.0,327.0,272.0,310.4,19.8,1.96,17.4,293.0,327.79999999999995,-15.4,17.4,-5.0,5.0,310.4 (±17.4),-15.4 (±17.4),-5.0% (±5.0%)
168,Total,Total,Burgas,107,2020,14,119.0,119.0,111.0,108.0,110.0,113.4,4.7,1.96,4.1,109.30000000000001,117.5,-6.4,4.1,-5.6,3.3,113.4 (±4.1),-6.4 (±4.1),-5.6% (±3.3%)
169,Total,Total,Sliven,58,2020,14,48.0,58.0,59.0,57.0,49.0,54.2,4.7,1.96,4.1,50.1,58.300000000000004,3.8,4.1,7.0,7.5,54.2 (±4.1),3.8 (±4.1),7.0% (±7.5%)
170,Total,Total,Yambol,40,2020,14,52.0,36.0,43.0,45.0,35.0,42.2,6.2,1.96,5.4,36.800000000000004,47.6,-2.2,5.4,-5.2,10.8,42.2 (±5.4),-2.2 (±5.4),-5.2% (±10.8%)
171,Total,Total,Stara Zagora,90,2020,14,96.0,102.0,110.0,117.0,78.0,100.6,13.4,1.96,11.7,88.89999999999999,112.3,-10.6,11.7,-10.5,9.4,100.6 (±11.7),-10.6 (±11.7),-10.5% (±9.4%)
172,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,983,2020,14,1048.0,956.0,944.0,935.0,981.0,972.8,40.7,1.96,35.7,937.0999999999999,1008.5,10.2,35.7,1.0,3.5,972.8 (±35.7),10.2 (±35.7),1.0% (±3.5%)
173,Total,Total,Yugozapaden,578,2020,14,601.0,552.0,528.0,542.0,604.0,565.4,31.3,1.96,27.4,538.0,592.8,12.6,27.4,2.2,4.7,565.4 (±27.4),12.6 (±27.4),2.2% (±4.7%)
174,Total,Total,Sofia (stolitsa),319,2020,14,342.0,310.0,283.0,289.0,328.0,310.4,22.4,1.96,19.6,290.79999999999995,330.0,8.6,19.6,2.8,6.1,310.4 (±19.6),8.6 (±19.6),2.8% (±6.1%)
175,Total,Total,Sofia,75,2020,14,77.0,70.0,78.0,89.0,92.0,81.2,8.1,1.96,7.1,74.10000000000001,88.3,-6.2,7.1,-7.6,7.5,81.2 (±7.1),-6.2 (±7.1),-7.6% (±7.5%)
176,Total,Total,Blagoevgrad,76,2020,14,89.0,73.0,76.0,80.0,83.0,80.2,5.6,1.96,4.9,75.3,85.10000000000001,-4.2,4.9,-5.2,5.5,80.2 (±4.9),-4.2 (±4.9),-5.2% (±5.5%)
177,Total,Total,Pernik,55,2020,14,47.0,49.0,40.0,37.0,47.0,44.0,4.6,1.96,4.0,40.0,48.0,11.0,4.0,25.0,10.4,44.0 (±4.0),11.0 (±4.0),25.0% (±10.4%)
178,Total,Total,Kyustendil,53,2020,14,46.0,50.0,51.0,47.0,54.0,49.6,2.9,1.96,2.5,47.1,52.1,3.4,2.5,6.9,5.2,49.6 (±2.5),3.4 (±2.5),6.9% (±5.2%)
179,Total,Total,Yuzhen tsentralen,405,2020,14,447.0,404.0,416.0,393.0,377.0,407.4,23.6,1.96,20.7,386.7,428.09999999999997,-2.4,20.7,-0.6,4.8,407.4 (±20.7),-2.4 (±20.7),-0.6% (±4.8%)
180,Total,Total,Plovdiv,173,2020,14,204.0,182.0,183.0,184.0,158.0,182.2,14.6,1.96,12.8,169.39999999999998,195.0,-9.2,12.8,-5.0,6.3,182.2 (±12.8),-9.2 (±12.8),-5.0% (±6.3%)
181,Total,Total,Haskovo,66,2020,14,90.0,81.0,78.0,77.0,68.0,78.8,7.1,1.96,6.2,72.6,85.0,-12.8,6.2,-16.2,6.2,78.8 (±6.2),-12.8 (±6.2),-16.2% (±6.2%)
182,Total,Total,Pazardzhik,87,2020,14,84.0,69.0,82.0,73.0,74.0,76.4,5.7,1.96,5.0,71.4,81.4,10.6,5.0,13.9,7.0,76.4 (±5.0),10.6 (±5.0),13.9% (±7.0%)
183,Total,Total,Smolyan,40,2020,14,36.0,35.0,34.0,27.0,26.0,31.6,4.2,1.96,3.7,27.900000000000002,35.300000000000004,8.4,3.7,26.6,13.3,31.6 (±3.7),8.4 (±3.7),26.6% (±13.3%)
184,Total,Total,Kardzhali,39,2020,14,33.0,37.0,39.0,32.0,51.0,38.4,6.8,1.96,6.0,32.4,44.4,0.6,6.0,1.6,13.8,38.4 (±6.0),0.6 (±6.0),1.6% (±13.8%)
185,Total,Total,Bulgaria,2030,2020,15,2265.0,1925.0,2028.0,2062.0,2092.0,2074.4,110.7,1.96,97.0,1977.4,2171.4,-44.4,97.0,-2.1,4.4,2074.4 (±97.0),-44.4 (±97.0),-2.1% (±4.4%)
186,Total,Total,Severna i yugoiztochna Bulgaria,1035,2020,15,1280.0,1086.0,1130.0,1110.0,1114.0,1144.0,69.4,1.96,60.8,1083.2,1204.8,-109.0,60.8,-9.5,4.6,1144.0 (±60.8),-109.0 (±60.8),-9.5% (±4.6%)
187,Total,Total,Severozapaden,268,2020,15,325.0,284.0,278.0,289.0,298.0,294.8,16.5,1.96,14.5,280.3,309.3,-26.8,14.5,-9.1,4.3,294.8 (±14.5),-26.8 (±14.5),-9.1% (±4.3%)
188,Total,Total,Vidin,53,2020,15,35.0,34.0,45.0,40.0,36.0,38.0,4.0,1.96,3.5,34.5,41.5,15.0,3.5,39.5,11.8,38.0 (±3.5),15.0 (±3.5),39.5% (±11.8%)
189,Total,Total,Montana,40,2020,15,60.0,55.0,48.0,57.0,54.0,54.8,4.0,1.96,3.5,51.3,58.3,-14.8,3.5,-27.0,4.4,54.8 (±3.5),-14.8 (±3.5),-27.0% (±4.4%)
190,Total,Total,Vratsa,67,2020,15,66.0,63.0,57.0,63.0,62.0,62.2,2.9,1.96,2.5,59.7,64.7,4.8,2.5,7.7,4.1,62.2 (±2.5),4.8 (±2.5),7.7% (±4.1%)
191,Total,Total,Pleven,72,2020,15,123.0,88.0,81.0,90.0,94.0,95.2,14.5,1.96,12.7,82.5,107.9,-23.2,12.7,-24.4,8.9,95.2 (±12.7),-23.2 (±12.7),-24.4% (±8.9%)
192,Total,Total,Lovech,36,2020,15,41.0,44.0,47.0,39.0,52.0,44.6,4.6,1.96,4.0,40.6,48.6,-8.6,4.0,-19.3,6.6,44.6 (±4.0),-8.6 (±4.0),-19.3% (±6.6%)
193,Total,Total,Severen tsentralen,257,2020,15,314.0,261.0,294.0,287.0,254.0,282.0,22.0,1.96,19.3,262.7,301.3,-25.0,19.3,-8.9,5.8,282.0 (±19.3),-25.0 (±19.3),-8.9% (±5.8%)
194,Total,Total,Veliko Tarnovo,61,2020,15,99.0,84.0,82.0,80.0,70.0,83.0,9.3,1.96,8.2,74.8,91.2,-22.0,8.2,-26.5,6.6,83.0 (±8.2),-22.0 (±8.2),-26.5% (±6.6%)
195,Total,Total,Gabrovo,44,2020,15,42.0,43.0,49.0,34.0,34.0,40.4,5.7,1.96,5.0,35.4,45.4,3.6,5.0,8.9,12.0,40.4 (±5.0),3.6 (±5.0),8.9% (±12.0%)
196,Total,Total,Ruse,77,2020,15,85.0,66.0,92.0,89.0,79.0,82.2,9.2,1.96,8.1,74.10000000000001,90.3,-5.2,8.1,-6.3,8.4,82.2 (±8.1),-5.2 (±8.1),-6.3% (±8.4%)
197,Total,Total,Razgrad,37,2020,15,43.0,35.0,36.0,41.0,33.0,37.6,3.8,1.96,3.3,34.300000000000004,40.9,-0.6,3.3,-1.6,7.9,37.6 (±3.3),-0.6 (±3.3),-1.6% (±7.9%)
198,Total,Total,Silistra,38,2020,15,45.0,33.0,35.0,43.0,38.0,38.8,4.6,1.96,4.0,34.8,42.8,-0.8,4.0,-2.1,9.1,38.8 (±4.0),-0.8 (±4.0),-2.1% (±9.1%)
199,Total,Total,Severoiztochen,244,2020,15,291.0,245.0,256.0,255.0,256.0,260.6,15.8,1.96,13.8,246.8,274.40000000000003,-16.6,13.8,-6.4,4.7,260.6 (±13.8),-16.6 (±13.8),-6.4% (±4.7%)
200,Total,Total,Varna,97,2020,15,120.0,98.0,108.0,120.0,120.0,113.2,8.9,1.96,7.8,105.4,121.0,-16.2,7.8,-14.3,5.5,113.2 (±7.8),-16.2 (±7.8),-14.3% (±5.5%)
201,Total,Total,Dobrich,45,2020,15,61.0,54.0,61.0,59.0,52.0,57.4,3.7,1.96,3.2,54.199999999999996,60.6,-12.4,3.2,-21.6,4.1,57.4 (±3.2),-12.4 (±3.2),-21.6% (±4.1%)
202,Total,Total,Shumen,65,2020,15,66.0,49.0,50.0,45.0,50.0,52.0,7.2,1.96,6.3,45.7,58.3,13.0,6.3,25.0,13.5,52.0 (±6.3),13.0 (±6.3),25.0% (±13.5%)
203,Total,Total,Targovishte,37,2020,15,44.0,44.0,37.0,31.0,34.0,38.0,5.3,1.96,4.6,33.4,42.6,-1.0,4.6,-2.6,10.5,38.0 (±4.6),-1.0 (±4.6),-2.6% (±10.5%)
204,Total,Total,Yugoiztochen,266,2020,15,350.0,296.0,302.0,279.0,306.0,306.6,23.6,1.96,20.7,285.90000000000003,327.3,-40.6,20.7,-13.2,5.5,306.6 (±20.7),-40.6 (±20.7),-13.2% (±5.5%)
205,Total,Total,Burgas,91,2020,15,118.0,110.0,108.0,90.0,117.0,108.6,10.1,1.96,8.9,99.69999999999999,117.5,-17.6,8.9,-16.2,6.4,108.6 (±8.9),-17.6 (±8.9),-16.2% (±6.4%)
206,Total,Total,Sliven,55,2020,15,55.0,53.0,67.0,40.0,52.0,53.4,8.6,1.96,7.5,45.9,60.9,1.6,7.5,3.0,12.7,53.4 (±7.5),1.6 (±7.5),3.0% (±12.7%)
207,Total,Total,Yambol,38,2020,15,44.0,41.0,34.0,39.0,39.0,39.4,3.3,1.96,2.9,36.5,42.3,-1.4,2.9,-3.6,6.6,39.4 (±2.9),-1.4 (±2.9),-3.6% (±6.6%)
208,Total,Total,Stara Zagora,82,2020,15,133.0,92.0,93.0,110.0,98.0,105.2,15.3,1.96,13.4,91.8,118.60000000000001,-23.2,13.4,-22.1,8.8,105.2 (±13.4),-23.2 (±13.4),-22.1% (±8.8%)
209,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,995,2020,15,985.0,839.0,898.0,952.0,978.0,930.4,55.0,1.96,48.2,882.1999999999999,978.6,64.6,48.2,6.9,5.2,930.4 (±48.2),64.6 (±48.2),6.9% (±5.2%)
210,Total,Total,Yugozapaden,563,2020,15,584.0,503.0,522.0,575.0,570.0,550.8,32.2,1.96,28.2,522.5999999999999,579.0,12.2,28.2,2.2,5.0,550.8 (±28.2),12.2 (±28.2),2.2% (±5.0%)
211,Total,Total,Sofia (stolitsa),319,2020,15,306.0,273.0,300.0,321.0,308.0,301.6,15.9,1.96,13.9,287.70000000000005,315.5,17.4,13.9,5.8,4.7,301.6 (±13.9),17.4 (±13.9),5.8% (±4.7%)
212,Total,Total,Sofia,75,2020,15,76.0,78.0,73.0,91.0,85.0,80.6,6.5,1.96,5.7,74.89999999999999,86.3,-5.6,5.7,-6.9,6.2,80.6 (±5.7),-5.6 (±5.7),-6.9% (±6.2%)
213,Total,Total,Blagoevgrad,77,2020,15,98.0,65.0,62.0,74.0,77.0,75.2,12.7,1.96,11.1,64.10000000000001,86.3,1.8,11.1,2.4,13.2,75.2 (±11.1),1.8 (±11.1),2.4% (±13.2%)
214,Total,Total,Pernik,38,2020,15,54.0,37.0,37.0,45.0,50.0,44.6,6.8,1.96,6.0,38.6,50.6,-6.6,6.0,-14.8,10.1,44.6 (±6.0),-6.6 (±6.0),-14.8% (±10.1%)
215,Total,Total,Kyustendil,54,2020,15,50.0,50.0,50.0,44.0,50.0,48.8,2.4,1.96,2.1,46.699999999999996,50.9,5.2,2.1,10.7,4.6,48.8 (±2.1),5.2 (±2.1),10.7% (±4.6%)
216,Total,Total,Yuzhen tsentralen,432,2020,15,401.0,336.0,376.0,377.0,408.0,379.6,25.2,1.96,22.1,357.5,401.70000000000005,52.4,22.1,13.8,6.3,379.6 (±22.1),52.4 (±22.1),13.8% (±6.3%)
217,Total,Total,Plovdiv,193,2020,15,178.0,166.0,169.0,174.0,183.0,174.0,6.1,1.96,5.3,168.7,179.3,19.0,5.3,10.9,3.3,174.0 (±5.3),19.0 (±5.3),10.9% (±3.3%)
218,Total,Total,Haskovo,79,2020,15,78.0,66.0,73.0,65.0,70.0,70.4,4.8,1.96,4.2,66.2,74.60000000000001,8.6,4.2,12.2,6.3,70.4 (±4.2),8.6 (±4.2),12.2% (±6.3%)
219,Total,Total,Pazardzhik,83,2020,15,78.0,50.0,70.0,64.0,87.0,69.8,12.6,1.96,11.0,58.8,80.8,13.2,11.0,18.9,16.2,69.8 (±11.0),13.2 (±11.0),18.9% (±16.2%)
220,Total,Total,Smolyan,37,2020,15,32.0,28.0,33.0,33.0,27.0,30.6,2.6,1.96,2.3,28.3,32.9,6.4,2.3,20.9,8.4,30.6 (±2.3),6.4 (±2.3),20.9% (±8.4%)
221,Total,Total,Kardzhali,40,2020,15,35.0,26.0,31.0,41.0,41.0,34.8,5.8,1.96,5.1,29.699999999999996,39.9,5.2,5.1,14.9,14.6,34.8 (±5.1),5.2 (±5.1),14.9% (±14.6%)
222,Total,Total,Bulgaria,2024,2020,16,2242.0,1944.0,2118.0,1992.0,2035.0,2066.2,104.9,1.96,91.9,1974.2999999999997,2158.1,-42.2,91.9,-2.0,4.2,2066.2 (±91.9),-42.2 (±91.9),-2.0% (±4.2%)
223,Total,Total,Severna i yugoiztochna Bulgaria,1084,2020,16,1207.0,1073.0,1140.0,1088.0,1060.0,1113.6,54.0,1.96,47.3,1066.3,1160.8999999999999,-29.6,47.3,-2.7,3.9,1113.6 (±47.3),-29.6 (±47.3),-2.7% (±3.9%)
224,Total,Total,Severozapaden,268,2020,16,294.0,271.0,324.0,261.0,273.0,284.6,22.4,1.96,19.6,265.0,304.20000000000005,-16.6,19.6,-5.8,6.1,284.6 (±19.6),-16.6 (±19.6),-5.8% (±6.1%)
225,Total,Total,Vidin,28,2020,16,38.0,29.0,43.0,35.0,41.0,37.2,4.9,1.96,4.3,32.900000000000006,41.5,-9.2,4.3,-24.7,7.8,37.2 (±4.3),-9.2 (±4.3),-24.7% (±7.8%)
226,Total,Total,Montana,49,2020,16,61.0,60.0,63.0,42.0,50.0,55.2,8.0,1.96,7.0,48.2,62.2,-6.2,7.0,-11.2,10.0,55.2 (±7.0),-6.2 (±7.0),-11.2% (±10.0%)
227,Total,Total,Vratsa,62,2020,16,59.0,52.0,72.0,60.0,67.0,62.0,6.9,1.96,6.0,56.0,68.0,0.0,6.0,0.0,8.8,62.0 (±6.0),0.0 (±6.0),0.0% (±8.8%)
228,Total,Total,Pleven,88,2020,16,89.0,85.0,87.0,86.0,73.0,84.0,5.7,1.96,5.0,79.0,89.0,4.0,5.0,4.8,5.9,84.0 (±5.0),4.0 (±5.0),4.8% (±5.9%)
229,Total,Total,Lovech,41,2020,16,47.0,45.0,59.0,38.0,42.0,46.2,7.1,1.96,6.2,40.0,52.400000000000006,-5.2,6.2,-11.3,10.5,46.2 (±6.2),-5.2 (±6.2),-11.3% (±10.5%)
230,Total,Total,Severen tsentralen,263,2020,16,303.0,248.0,251.0,249.0,266.0,263.4,20.8,1.96,18.2,245.2,281.59999999999997,-0.4,18.2,-0.2,6.4,263.4 (±18.2),-0.4 (±18.2),-0.2% (±6.4%)
231,Total,Total,Veliko Tarnovo,73,2020,16,90.0,59.0,77.0,54.0,80.0,72.0,13.5,1.96,11.8,60.2,83.8,1.0,11.8,1.4,14.3,72.0 (±11.8),1.0 (±11.8),1.4% (±14.3%)
232,Total,Total,Gabrovo,48,2020,16,40.0,48.0,45.0,48.0,41.0,44.4,3.4,1.96,3.0,41.4,47.4,3.6,3.0,8.1,6.8,44.4 (±3.0),3.6 (±3.0),8.1% (±6.8%)
233,Total,Total,Ruse,68,2020,16,87.0,85.0,61.0,70.0,66.0,73.8,10.4,1.96,9.1,64.7,82.89999999999999,-5.8,9.1,-7.9,10.1,73.8 (±9.1),-5.8 (±9.1),-7.9% (±10.1%)
234,Total,Total,Razgrad,34,2020,16,41.0,31.0,36.0,45.0,36.0,37.8,4.8,1.96,4.2,33.599999999999994,42.0,-3.8,4.2,-10.1,8.9,37.8 (±4.2),-3.8 (±4.2),-10.1% (±8.9%)
235,Total,Total,Silistra,40,2020,16,45.0,25.0,32.0,32.0,43.0,35.4,7.5,1.96,6.6,28.799999999999997,42.0,4.6,6.6,13.0,17.8,35.4 (±6.6),4.6 (±6.6),13.0% (±17.8%)
236,Total,Total,Severoiztochen,241,2020,16,280.0,223.0,256.0,276.0,231.0,253.2,23.0,1.96,20.2,233.0,273.4,-12.2,20.2,-4.8,7.1,253.2 (±20.2),-12.2 (±20.2),-4.8% (±7.1%)
237,Total,Total,Varna,110,2020,16,137.0,104.0,109.0,133.0,102.0,117.0,14.9,1.96,13.1,103.9,130.1,-7.0,13.1,-6.0,9.4,117.0 (±13.1),-7.0 (±13.1),-6.0% (±9.4%)
238,Total,Total,Dobrich,53,2020,16,59.0,48.0,51.0,54.0,50.0,52.4,3.8,1.96,3.3,49.1,55.699999999999996,0.6,3.3,1.1,5.9,52.4 (±3.3),0.6 (±3.3),1.1% (±5.9%)
239,Total,Total,Shumen,43,2020,16,47.0,46.0,60.0,53.0,50.0,51.2,5.0,1.96,4.4,46.800000000000004,55.6,-8.2,4.4,-16.0,6.7,51.2 (±4.4),-8.2 (±4.4),-16.0% (±6.7%)
240,Total,Total,Targovishte,35,2020,16,37.0,25.0,36.0,36.0,29.0,32.6,4.8,1.96,4.2,28.400000000000002,36.800000000000004,2.4,4.2,7.4,12.3,32.6 (±4.2),2.4 (±4.2),7.4% (±12.3%)
241,Total,Total,Yugoiztochen,312,2020,16,330.0,331.0,309.0,302.0,290.0,312.4,16.0,1.96,14.0,298.4,326.4,-0.4,14.0,-0.1,4.3,312.4 (±14.0),-0.4 (±14.0),-0.1% (±4.3%)
242,Total,Total,Burgas,104,2020,16,122.0,115.0,123.0,120.0,111.0,118.2,4.5,1.96,3.9,114.3,122.10000000000001,-14.2,3.9,-12.0,2.8,118.2 (±3.9),-14.2 (±3.9),-12.0% (±2.8%)
243,Total,Total,Sliven,67,2020,16,54.0,54.0,51.0,46.0,52.0,51.4,2.9,1.96,2.5,48.9,53.9,15.6,2.5,30.4,6.1,51.4 (±2.5),15.6 (±2.5),30.4% (±6.1%)
244,Total,Total,Yambol,40,2020,16,44.0,49.0,37.0,33.0,33.0,39.2,6.3,1.96,5.5,33.7,44.7,0.8,5.5,2.0,12.5,39.2 (±5.5),0.8 (±5.5),2.0% (±12.5%)
245,Total,Total,Stara Zagora,101,2020,16,110.0,113.0,98.0,103.0,94.0,103.6,7.1,1.96,6.2,97.39999999999999,109.8,-2.6,6.2,-2.5,5.5,103.6 (±6.2),-2.6 (±6.2),-2.5% (±5.5%)
246,Total,Total,Yugozapadna i yuzhna tsentralna Bulgaria,940,2020,16,1035.0,871.0,978.0,904.0,975.0,952.6,58.2,1.96,51.0,901.6,1003.6,-12.6,51.0,-1.3,5.0,952.6 (±51.0),-12.6 (±51.0),-1.3% (±5.0%)
247,Total,Total,Yugozapaden,509,2020,16,583.0,505.0,561.0,506.0,581.0,547.2,34.9,1.96,30.6,516.6,577.8000000000001,-38.2,30.6,-7.0,4.9,547.2 (±30.6),-38.2 (±30.6),-7.0% (±4.9%)
248,Total,Total,Sofia (stolitsa),282,2020,16,303.0,272.0,287.0,263.0,320.0,289.0,20.6,1.96,18.1,270.9,307.1,-7.0,18.1,-2.4,5.8,289.0 (±18.1),-7.0 (±18.1),-2.4% (±5.8%)
249,Total,Total,Sofia,72,2020,16,86.0,88.0,86.0,83.0,89.0,86.4,2.1,1.96,1.8,84.60000000000001,88.2,-14.4,1.8,-16.7,1.7,86.4 (±1.8),-14.4 (±1.8),-16.7% (±1.7%)
