index,Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±
1432,Total,Total,Sofia (stolitsa),651,2020,48,293.0,314.0,287.0,306.0,313.0,302.6,10.8,1.96,9.5,293.1,312.1,348.4,9.5,115.1,6.5,302.6 (±9.5),348.4 (±9.5),115.1% (±6.5%)
1433,Total,Total,Sofia,197,2020,48,90.0,85.0,88.0,103.0,78.0,88.8,8.2,1.96,7.2,81.6,96.0,108.2,7.2,121.8,16.6,88.8 (±7.2),108.2 (±7.2),121.8% (±16.6%)
1434,Total,Total,Blagoevgrad,187,2020,48,85.0,85.0,79.0,76.0,70.0,79.0,5.7,1.96,5.0,74.0,84.0,108.0,5.0,136.7,14.1,79.0 (±5.0),108.0 (±5.0),136.7% (±14.1%)
1435,Total,Total,Pernik,110,2020,48,49.0,52.0,41.0,50.0,38.0,46.0,5.5,1.96,4.8,41.2,50.8,64.0,4.8,139.1,22.6,46.0 (±4.8),64.0 (±4.8),139.1% (±22.6%)
1436,Total,Total,Kyustendil,131,2020,48,42.0,27.0,53.0,47.0,46.0,43.0,8.7,1.96,7.6,35.4,50.6,88.0,7.6,204.7,45.8,43.0 (±7.6),88.0 (±7.6),204.7% (±45.8%)
1437,Total,Total,Yuzhen tsentralen,985,2020,48,390.0,441.0,378.0,411.0,384.0,400.8,23.0,1.96,20.2,380.6,421.0,584.2,20.2,145.8,11.8,400.8 (±20.2),584.2 (±20.2),145.8% (±11.8%)
1438,Total,Total,Plovdiv,488,2020,48,183.0,211.0,168.0,204.0,196.0,192.4,15.3,1.96,13.4,179.0,205.8,295.6,13.4,153.6,16.5,192.4 (±13.4),295.6 (±13.4),153.6% (±16.5%)
1439,Total,Total,Haskovo,163,2020,48,55.0,86.0,66.0,64.0,64.0,67.0,10.2,1.96,8.9,58.1,75.9,96.0,8.9,143.3,28.5,67.0 (±8.9),96.0 (±8.9),143.3% (±28.5%)
1440,Total,Total,Pazardzhik,188,2020,48,86.0,79.0,84.0,62.0,71.0,76.4,8.9,1.96,7.8,68.60000000000001,84.2,111.6,7.8,146.1,22.8,76.4 (±7.8),111.6 (±7.8),146.1% (±22.8%)
1441,Total,Total,Smolyan,80,2020,48,36.0,31.0,27.0,38.0,19.0,30.2,6.8,1.96,6.0,24.2,36.2,49.8,6.0,164.9,43.9,30.2 (±6.0),49.8 (±6.0),164.9% (±43.9%)
1442,Total,Total,Kardzhali,66,2020,48,30.0,34.0,33.0,43.0,34.0,34.8,4.4,1.96,3.9,30.9,38.699999999999996,31.2,3.9,89.7,19.2,34.8 (±3.9),31.2 (±3.9),89.7% (±19.2%)
1443,Total,Total,Bulgaria,4749,2020,49,2008.0,2299.0,2021.0,2319.0,2126.0,2154.6,132.7,1.96,116.3,2038.3,2270.9,2594.4,116.3,120.4,11.3,2154.6 (±116.3),2594.4 (±116.3),120.4% (±11.3%)
1444,Total,Total,Severna i yugoiztochna Bulgaria,2511,2020,49,1091.0,1296.0,1107.0,1255.0,1144.0,1178.6,82.0,1.96,71.9,1106.6999999999998,1250.5,1332.4,71.9,113.0,12.2,1178.6 (±71.9),1332.4 (±71.9),113.0% (±12.2%)
1445,Total,Total,Severozapaden,628,2020,49,310.0,339.0,275.0,321.0,309.0,310.8,20.9,1.96,18.3,292.5,329.1,317.2,18.3,102.1,11.3,310.8 (±18.3),317.2 (±18.3),102.1% (±11.3%)
1446,Total,Total,Vidin,104,2020,49,39.0,47.0,33.0,51.0,39.0,41.8,6.4,1.96,5.6,36.199999999999996,47.4,62.2,5.6,148.8,29.4,41.8 (±5.6),62.2 (±5.6),148.8% (±29.4%)
