Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc
(60-64),Female,Pleven,2,2020,10,4.0,6.0,7.0,5.0,3.0,5.0,1.4,1.96,1.2,3.8,6.2,-3.0,1.2
(40-44),Female,Lovech,0,2020,10,2.0,2.0,2.0,4.0,2.0,2.4,0.8,1.96,0.7,1.7,3.0999999999999996,-2.4,0.7
(45-49),Female,Lovech,1,2020,10,2.0,2.0,2.0,4.0,2.0,2.4,0.8,1.96,0.7,1.7,3.0999999999999996,-1.4,0.7
(50-54),Female,Lovech,1,2020,10,2.0,2.0,2.0,4.0,2.0,2.4,0.8,1.96,0.7,1.7,3.0999999999999996,-1.4,0.7
(55-59),Female,Lovech,0,2020,10,2.0,2.0,2.0,4.0,2.0,2.4,0.8,1.96,0.7,1.7,3.0999999999999996,-2.4,0.7
(60-64),Female,Lovech,0,2020,10,2.0,2.0,2.0,4.0,2.0,2.4,0.8,1.96,0.7,1.7,3.0999999999999996,-2.4,0.7
(40-44),Female,Severen tsentralen,0,2020,10,17.0,17.0,12.0,14.0,13.0,14.6,2.1,1.96,1.8,12.799999999999999,16.4,-14.6,1.8
(45-49),Female,Severen tsentralen,4,2020,10,17.0,17.0,12.0,14.0,13.0,14.6,2.1,1.96,1.8,12.799999999999999,16.4,-10.6,1.8
(50-54),Female,Severen tsentralen,1,2020,10,17.0,17.0,12.0,14.0,13.0,14.6,2.1,1.96,1.8,12.799999999999999,16.4,-13.6,1.8
(55-59),Female,Severen tsentralen,4,2020,10,17.0,17.0,12.0,14.0,13.0,14.6,2.1,1.96,1.8,12.799999999999999,16.4,-10.6,1.8
(60-64),Female,Severen tsentralen,5,2020,10,17.0,17.0,12.0,14.0,13.0,14.6,2.1,1.96,1.8,12.799999999999999,16.4,-9.6,1.8
