Age,Sex,Location,Mortality,Year,Week,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc
(40-44),Male,Razgrad,0,2020,23,4.0,4.0,8.0,4.0,6.0,5.2,1.6,1.96,1.4,3.8000000000000003,6.6,-5.2,1.4
(45-49),Male,Razgrad,1,2020,23,4.0,4.0,8.0,4.0,6.0,5.2,1.6,1.96,1.4,3.8000000000000003,6.6,-4.2,1.4
(50-54),Male,Razgrad,3,2020,23,4.0,4.0,8.0,4.0,6.0,5.2,1.6,1.96,1.4,3.8000000000000003,6.6,-2.2,1.4
(55-59),Male,Razgrad,0,2020,23,4.0,4.0,8.0,4.0,6.0,5.2,1.6,1.96,1.4,3.8000000000000003,6.6,-5.2,1.4
(60-64),Male,Razgrad,3,2020,23,4.0,4.0,8.0,4.0,6.0,5.2,1.6,1.96,1.4,3.8000000000000003,6.6,-2.2,1.4
(40-44),Male,Silistra,0,2020,23,3.0,3.0,12.0,4.0,6.0,5.6,3.4,1.96,3.0,2.5999999999999996,8.6,-5.6,3.0
(45-49),Male,Silistra,1,2020,23,3.0,3.0,12.0,4.0,6.0,5.6,3.4,1.96,3.0,2.5999999999999996,8.6,-4.6,3.0
(50-54),Male,Silistra,1,2020,23,3.0,3.0,12.0,4.0,6.0,5.6,3.4,1.96,3.0,2.5999999999999996,8.6,-4.6,3.0
(55-59),Male,Silistra,1,2020,23,3.0,3.0,12.0,4.0,6.0,5.6,3.4,1.96,3.0,2.5999999999999996,8.6,-4.6,3.0
(60-64),Male,Silistra,3,2020,23,3.0,3.0,12.0,4.0,6.0,5.6,3.4,1.96,3.0,2.5999999999999996,8.6,-2.6,3.0
(40-44),Male,Severoiztochen,4,2020,23,34.0,34.0,35.0,40.0,31.0,34.8,2.9,1.96,2.5,32.3,37.3,-30.8,2.5
(45-49),Male,Severoiztochen,4,2020,23,34.0,34.0,35.0,40.0,31.0,34.8,2.9,1.96,2.5,32.3,37.3,-30.8,2.5
(50-54),Male,Severoiztochen,4,2020,23,34.0,34.0,35.0,40.0,31.0,34.8,2.9,1.96,2.5,32.3,37.3,-30.8,2.5
(55-59),Male,Severoiztochen,6,2020,23,34.0,34.0,35.0,40.0,31.0,34.8,2.9,1.96,2.5,32.3,37.3,-28.8,2.5
(60-64),Male,Severoiztochen,4,2020,23,34.0,34.0,35.0,40.0,31.0,34.8,2.9,1.96,2.5,32.3,37.3,-30.8,2.5
(40-44),Male,Varna,1,2020,23,14.0,18.0,19.0,18.0,15.0,16.8,1.9,1.96,1.7,15.100000000000001,18.5,-15.8,1.7
(45-49),Male,Varna,0,2020,23,14.0,18.0,19.0,18.0,15.0,16.8,1.9,1.96,1.7,15.100000000000001,18.5,-16.8,1.7
(50-54),Male,Varna,3,2020,23,14.0,18.0,19.0,18.0,15.0,16.8,1.9,1.96,1.7,15.100000000000001,18.5,-13.8,1.7
(55-59),Male,Varna,1,2020,23,14.0,18.0,19.0,18.0,15.0,16.8,1.9,1.96,1.7,15.100000000000001,18.5,-15.8,1.7
(60-64),Male,Varna,1,2020,23,14.0,18.0,19.0,18.0,15.0,16.8,1.9,1.96,1.7,15.100000000000001,18.5,-15.8,1.7
(40-44),Male,Dobrich,2,2020,23,5.0,9.0,6.0,10.0,6.0,7.2,1.9,1.96,1.7,5.5,8.9,-5.2,1.7
(45-49),Male,Dobrich,1,2020,23,5.0,9.0,6.0,10.0,6.0,7.2,1.9,1.96,1.7,5.5,8.9,-6.2,1.7
(50-54),Male,Dobrich,0,2020,23,5.0,9.0,6.0,10.0,6.0,7.2,1.9,1.96,1.7,5.5,8.9,-7.2,1.7
(55-59),Male,Dobrich,3,2020,23,5.0,9.0,6.0,10.0,6.0,7.2,1.9,1.96,1.7,5.5,8.9,-4.2,1.7
(60-64),Male,Dobrich,0,2020,23,5.0,9.0,6.0,10.0,6.0,7.2,1.9,1.96,1.7,5.5,8.9,-7.2,1.7
(40-44),Male,Shumen,0,2020,23,11.0,4.0,5.0,8.0,8.0,7.2,2.5,1.96,2.2,5.0,9.4,-7.2,2.2
(45-49),Male,Shumen,2,2020,23,11.0,4.0,5.0,8.0,8.0,7.2,2.5,1.96,2.2,5.0,9.4,-5.2,2.2
(50-54),Male,Shumen,0,2020,23,11.0,4.0,5.0,8.0,8.0,7.2,2.5,1.96,2.2,5.0,9.4,-7.2,2.2
(55-59),Male,Shumen,0,2020,23,11.0,4.0,5.0,8.0,8.0,7.2,2.5,1.96,2.2,5.0,9.4,-7.2,2.2
(60-64),Male,Shumen,2,2020,23,11.0,4.0,5.0,8.0,8.0,7.2,2.5,1.96,2.2,5.0,9.4,-5.2,2.2
(40-44),Male,Targovishte,1,2020,23,4.0,3.0,5.0,4.0,2.0,3.6,1.0,1.96,0.9,2.7,4.5,-2.6,0.9
(45-49),Male,Targovishte,1,2020,23,4.0,3.0,5.0,4.0,2.0,3.6,1.0,1.96,0.9,2.7,4.5,-2.6,0.9
(50-54),Male,Targovishte,1,2020,23,4.0,3.0,5.0,4.0,2.0,3.6,1.0,1.96,0.9,2.7,4.5,-2.6,0.9
(55-59),Male,Targovishte,2,2020,23,4.0,3.0,5.0,4.0,2.0,3.6,1.0,1.96,0.9,2.7,4.5,-1.6,0.9
(60-64),Male,Targovishte,1,2020,23,4.0,3.0,5.0,4.0,2.0,3.6,1.0,1.96,0.9,2.7,4.5,-2.6,0.9
(40-44),Male,Yugoiztochen,1,2020,23,32.0,36.0,39.0,45.0,35.0,37.4,4.4,1.96,3.9,33.5,41.3,-36.4,3.9
(45-49),Male,Yugoiztochen,2,2020,23,32.0,36.0,39.0,45.0,35.0,37.4,4.4,1.96,3.9,33.5,41.3,-35.4,3.9
(50-54),Male,Yugoiztochen,6,2020,23,32.0,36.0,39.0,45.0,35.0,37.4,4.4,1.96,3.9,33.5,41.3,-31.4,3.9
(55-59),Male,Yugoiztochen,9,2020,23,32.0,36.0,39.0,45.0,35.0,37.4,4.4,1.96,3.9,33.5,41.3,-28.4,3.9
(60-64),Male,Yugoiztochen,16,2020,23,32.0,36.0,39.0,45.0,35.0,37.4,4.4,1.96,3.9,33.5,41.3,-21.4,3.9
(40-44),Male,Burgas,1,2020,23,11.0,11.0,10.0,11.0,12.0,11.0,0.6,1.96,0.5,10.5,11.5,-10.0,0.5
(45-49),Male,Burgas,0,2020,23,11.0,11.0,10.0,11.0,12.0,11.0,0.6,1.96,0.5,10.5,11.5,-11.0,0.5
(50-54),Male,Burgas,1,2020,23,11.0,11.0,10.0,11.0,12.0,11.0,0.6,1.96,0.5,10.5,11.5,-10.0,0.5
(55-59),Male,Burgas,3,2020,23,11.0,11.0,10.0,11.0,12.0,11.0,0.6,1.96,0.5,10.5,11.5,-8.0,0.5
(60-64),Male,Burgas,7,2020,23,11.0,11.0,10.0,11.0,12.0,11.0,0.6,1.96,0.5,10.5,11.5,-4.0,0.5
(40-44),Male,Sliven,0,2020,23,10.0,3.0,10.0,7.0,7.0,7.4,2.6,1.96,2.3,5.1000000000000005,9.7,-7.4,2.3
(45-49),Male,Sliven,1,2020,23,10.0,3.0,10.0,7.0,7.0,7.4,2.6,1.96,2.3,5.1000000000000005,9.7,-6.4,2.3
(50-54),Male,Sliven,2,2020,23,10.0,3.0,10.0,7.0,7.0,7.4,2.6,1.96,2.3,5.1000000000000005,9.7,-5.4,2.3
(55-59),Male,Sliven,1,2020,23,10.0,3.0,10.0,7.0,7.0,7.4,2.6,1.96,2.3,5.1000000000000005,9.7,-6.4,2.3
(60-64),Male,Sliven,3,2020,23,10.0,3.0,10.0,7.0,7.0,7.4,2.6,1.96,2.3,5.1000000000000005,9.7,-4.4,2.3
(40-44),Male,Yambol,0,2020,23,1.0,8.0,6.0,14.0,6.0,7.0,4.2,1.96,3.7,3.3,10.7,-7.0,3.7
(45-49),Male,Yambol,0,2020,23,1.0,8.0,6.0,14.0,6.0,7.0,4.2,1.96,3.7,3.3,10.7,-7.0,3.7
(50-54),Male,Yambol,0,2020,23,1.0,8.0,6.0,14.0,6.0,7.0,4.2,1.96,3.7,3.3,10.7,-7.0,3.7
(55-59),Male,Yambol,1,2020,23,1.0,8.0,6.0,14.0,6.0,7.0,4.2,1.96,3.7,3.3,10.7,-6.0,3.7
(60-64),Male,Yambol,3,2020,23,1.0,8.0,6.0,14.0,6.0,7.0,4.2,1.96,3.7,3.3,10.7,-4.0,3.7
(40-44),Male,Stara Zagora,0,2020,23,10.0,14.0,13.0,13.0,10.0,12.0,1.7,1.96,1.5,10.5,13.5,-12.0,1.5
(45-49),Male,Stara Zagora,1,2020,23,10.0,14.0,13.0,13.0,10.0,12.0,1.7,1.96,1.5,10.5,13.5,-11.0,1.5
(50-54),Male,Stara Zagora,3,2020,23,10.0,14.0,13.0,13.0,10.0,12.0,1.7,1.96,1.5,10.5,13.5,-9.0,1.5
(55-59),Male,Stara Zagora,4,2020,23,10.0,14.0,13.0,13.0,10.0,12.0,1.7,1.96,1.5,10.5,13.5,-8.0,1.5
(60-64),Male,Stara Zagora,3,2020,23,10.0,14.0,13.0,13.0,10.0,12.0,1.7,1.96,1.5,10.5,13.5,-9.0,1.5
(40-44),Male,Yugozapadna i yuzhna tsentralna Bulgaria,7,2020,23,111.0,112.0,109.0,137.0,125.0,118.8,10.7,1.96,9.4,109.39999999999999,128.2,-111.8,9.4
(45-49),Male,Yugozapadna i yuzhna tsentralna Bulgaria,18,2020,23,111.0,112.0,109.0,137.0,125.0,118.8,10.7,1.96,9.4,109.39999999999999,128.2,-100.8,9.4
(50-54),Male,Yugozapadna i yuzhna tsentralna Bulgaria,20,2020,23,111.0,112.0,109.0,137.0,125.0,118.8,10.7,1.96,9.4,109.39999999999999,128.2,-98.8,9.4
(55-59),Male,Yugozapadna i yuzhna tsentralna Bulgaria,31,2020,23,111.0,112.0,109.0,137.0,125.0,118.8,10.7,1.96,9.4,109.39999999999999,128.2,-87.8,9.4
(60-64),Male,Yugozapadna i yuzhna tsentralna Bulgaria,48,2020,23,111.0,112.0,109.0,137.0,125.0,118.8,10.7,1.96,9.4,109.39999999999999,128.2,-70.8,9.4
(40-44),Male,Yugozapaden,3,2020,23,52.0,61.0,72.0,80.0,72.0,67.4,9.8,1.96,8.6,58.800000000000004,76.0,-64.4,8.6
(45-49),Male,Yugozapaden,12,2020,23,52.0,61.0,72.0,80.0,72.0,67.4,9.8,1.96,8.6,58.800000000000004,76.0,-55.4,8.6
(50-54),Male,Yugozapaden,8,2020,23,52.0,61.0,72.0,80.0,72.0,67.4,9.8,1.96,8.6,58.800000000000004,76.0,-59.4,8.6
(55-59),Male,Yugozapaden,20,2020,23,52.0,61.0,72.0,80.0,72.0,67.4,9.8,1.96,8.6,58.800000000000004,76.0,-47.4,8.6
(60-64),Male,Yugozapaden,26,2020,23,52.0,61.0,72.0,80.0,72.0,67.4,9.8,1.96,8.6,58.800000000000004,76.0,-41.4,8.6
(40-44),Male,Sofia (stolitsa),2,2020,23,16.0,36.0,41.0,40.0,34.0,33.4,9.1,1.96,8.0,25.4,41.4,-31.4,8.0
(45-49),Male,Sofia (stolitsa),6,2020,23,16.0,36.0,41.0,40.0,34.0,33.4,9.1,1.96,8.0,25.4,41.4,-27.4,8.0
(50-54),Male,Sofia (stolitsa),5,2020,23,16.0,36.0,41.0,40.0,34.0,33.4,9.1,1.96,8.0,25.4,41.4,-28.4,8.0
(55-59),Male,Sofia (stolitsa),8,2020,23,16.0,36.0,41.0,40.0,34.0,33.4,9.1,1.96,8.0,25.4,41.4,-25.4,8.0
(60-64),Male,Sofia (stolitsa),8,2020,23,16.0,36.0,41.0,40.0,34.0,33.4,9.1,1.96,8.0,25.4,41.4,-25.4,8.0
(40-44),Male,Sofia,1,2020,23,13.0,13.0,12.0,11.0,5.0,10.8,3.0,1.96,2.6,8.200000000000001,13.4,-9.8,2.6
(45-49),Male,Sofia,2,2020,23,13.0,13.0,12.0,11.0,5.0,10.8,3.0,1.96,2.6,8.200000000000001,13.4,-8.8,2.6
(50-54),Male,Sofia,0,2020,23,13.0,13.0,12.0,11.0,5.0,10.8,3.0,1.96,2.6,8.200000000000001,13.4,-10.8,2.6
(55-59),Male,Sofia,5,2020,23,13.0,13.0,12.0,11.0,5.0,10.8,3.0,1.96,2.6,8.200000000000001,13.4,-5.8,2.6
(60-64),Male,Sofia,9,2020,23,13.0,13.0,12.0,11.0,5.0,10.8,3.0,1.96,2.6,8.200000000000001,13.4,-1.8,2.6
(40-44),Male,Blagoevgrad,0,2020,23,9.0,4.0,9.0,13.0,15.0,10.0,3.8,1.96,3.3,6.7,13.3,-10.0,3.3
(45-49),Male,Blagoevgrad,3,2020,23,9.0,4.0,9.0,13.0,15.0,10.0,3.8,1.96,3.3,6.7,13.3,-7.0,3.3
(50-54),Male,Blagoevgrad,1,2020,23,9.0,4.0,9.0,13.0,15.0,10.0,3.8,1.96,3.3,6.7,13.3,-9.0,3.3
(55-59),Male,Blagoevgrad,2,2020,23,9.0,4.0,9.0,13.0,15.0,10.0,3.8,1.96,3.3,6.7,13.3,-8.0,3.3
(60-64),Male,Blagoevgrad,5,2020,23,9.0,4.0,9.0,13.0,15.0,10.0,3.8,1.96,3.3,6.7,13.3,-5.0,3.3
(40-44),Male,Pernik,0,2020,23,9.0,4.0,5.0,8.0,7.0,6.6,1.9,1.96,1.7,4.8999999999999995,8.299999999999999,-6.6,1.7
(45-49),Male,Pernik,1,2020,23,9.0,4.0,5.0,8.0,7.0,6.6,1.9,1.96,1.7,4.8999999999999995,8.299999999999999,-5.6,1.7
(50-54),Male,Pernik,2,2020,23,9.0,4.0,5.0,8.0,7.0,6.6,1.9,1.96,1.7,4.8999999999999995,8.299999999999999,-4.6,1.7
(55-59),Male,Pernik,5,2020,23,9.0,4.0,5.0,8.0,7.0,6.6,1.9,1.96,1.7,4.8999999999999995,8.299999999999999,-1.6,1.7
(60-64),Male,Pernik,3,2020,23,9.0,4.0,5.0,8.0,7.0,6.6,1.9,1.96,1.7,4.8999999999999995,8.299999999999999,-3.6,1.7
(40-44),Male,Kyustendil,0,2020,23,5.0,4.0,5.0,8.0,11.0,6.6,2.6,1.96,2.3,4.3,8.899999999999999,-6.6,2.3
(45-49),Male,Kyustendil,0,2020,23,5.0,4.0,5.0,8.0,11.0,6.6,2.6,1.96,2.3,4.3,8.899999999999999,-6.6,2.3
(50-54),Male,Kyustendil,0,2020,23,5.0,4.0,5.0,8.0,11.0,6.6,2.6,1.96,2.3,4.3,8.899999999999999,-6.6,2.3
(55-59),Male,Kyustendil,0,2020,23,5.0,4.0,5.0,8.0,11.0,6.6,2.6,1.96,2.3,4.3,8.899999999999999,-6.6,2.3
(60-64),Male,Kyustendil,1,2020,23,5.0,4.0,5.0,8.0,11.0,6.6,2.6,1.96,2.3,4.3,8.899999999999999,-5.6,2.3
(40-44),Male,Yuzhen tsentralen,4,2020,23,59.0,51.0,37.0,57.0,53.0,51.4,7.7,1.96,6.7,44.699999999999996,58.1,-47.4,6.7
(45-49),Male,Yuzhen tsentralen,6,2020,23,59.0,51.0,37.0,57.0,53.0,51.4,7.7,1.96,6.7,44.699999999999996,58.1,-45.4,6.7
(50-54),Male,Yuzhen tsentralen,12,2020,23,59.0,51.0,37.0,57.0,53.0,51.4,7.7,1.96,6.7,44.699999999999996,58.1,-39.4,6.7
(55-59),Male,Yuzhen tsentralen,11,2020,23,59.0,51.0,37.0,57.0,53.0,51.4,7.7,1.96,6.7,44.699999999999996,58.1,-40.4,6.7
(60-64),Male,Yuzhen tsentralen,22,2020,23,59.0,51.0,37.0,57.0,53.0,51.4,7.7,1.96,6.7,44.699999999999996,58.1,-29.4,6.7
(40-44),Male,Plovdiv,1,2020,23,33.0,29.0,15.0,22.0,19.0,23.6,6.6,1.96,5.8,17.8,29.400000000000002,-22.6,5.8
(45-49),Male,Plovdiv,4,2020,23,33.0,29.0,15.0,22.0,19.0,23.6,6.6,1.96,5.8,17.8,29.400000000000002,-19.6,5.8
(50-54),Male,Plovdiv,3,2020,23,33.0,29.0,15.0,22.0,19.0,23.6,6.6,1.96,5.8,17.8,29.400000000000002,-20.6,5.8
(55-59),Male,Plovdiv,4,2020,23,33.0,29.0,15.0,22.0,19.0,23.6,6.6,1.96,5.8,17.8,29.400000000000002,-19.6,5.8
(60-64),Male,Plovdiv,6,2020,23,33.0,29.0,15.0,22.0,19.0,23.6,6.6,1.96,5.8,17.8,29.400000000000002,-17.6,5.8
(40-44),Male,Haskovo,2,2020,23,5.0,7.0,7.0,9.0,10.0,7.6,1.7,1.96,1.5,6.1,9.1,-5.6,1.5
(45-49),Male,Haskovo,2,2020,23,5.0,7.0,7.0,9.0,10.0,7.6,1.7,1.96,1.5,6.1,9.1,-5.6,1.5
(50-54),Male,Haskovo,2,2020,23,5.0,7.0,7.0,9.0,10.0,7.6,1.7,1.96,1.5,6.1,9.1,-5.6,1.5
(55-59),Male,Haskovo,1,2020,23,5.0,7.0,7.0,9.0,10.0,7.6,1.7,1.96,1.5,6.1,9.1,-6.6,1.5
(60-64),Male,Haskovo,4,2020,23,5.0,7.0,7.0,9.0,10.0,7.6,1.7,1.96,1.5,6.1,9.1,-3.6,1.5
(40-44),Male,Pazardzhik,1,2020,23,10.0,7.0,6.0,10.0,9.0,8.4,1.6,1.96,1.4,7.0,9.8,-7.4,1.4
(45-49),Male,Pazardzhik,0,2020,23,10.0,7.0,6.0,10.0,9.0,8.4,1.6,1.96,1.4,7.0,9.8,-8.4,1.4
(50-54),Male,Pazardzhik,3,2020,23,10.0,7.0,6.0,10.0,9.0,8.4,1.6,1.96,1.4,7.0,9.8,-5.4,1.4
(55-59),Male,Pazardzhik,3,2020,23,10.0,7.0,6.0,10.0,9.0,8.4,1.6,1.96,1.4,7.0,9.8,-5.4,1.4
(60-64),Male,Pazardzhik,7,2020,23,10.0,7.0,6.0,10.0,9.0,8.4,1.6,1.96,1.4,7.0,9.8,-1.4,1.4
(40-44),Male,Smolyan,0,2020,23,4.0,3.0,4.0,8.0,9.0,5.6,2.4,1.96,2.1,3.4999999999999996,7.699999999999999,-5.6,2.1
(45-49),Male,Smolyan,0,2020,23,4.0,3.0,4.0,8.0,9.0,5.6,2.4,1.96,2.1,3.4999999999999996,7.699999999999999,-5.6,2.1
(50-54),Male,Smolyan,2,2020,23,4.0,3.0,4.0,8.0,9.0,5.6,2.4,1.96,2.1,3.4999999999999996,7.699999999999999,-3.6,2.1
(55-59),Male,Smolyan,3,2020,23,4.0,3.0,4.0,8.0,9.0,5.6,2.4,1.96,2.1,3.4999999999999996,7.699999999999999,-2.6,2.1
(60-64),Male,Smolyan,2,2020,23,4.0,3.0,4.0,8.0,9.0,5.6,2.4,1.96,2.1,3.4999999999999996,7.699999999999999,-3.6,2.1
(40-44),Male,Kardzhali,0,2020,23,7.0,5.0,5.0,8.0,6.0,6.2,1.2,1.96,1.1,5.1,7.300000000000001,-6.2,1.1
(45-49),Male,Kardzhali,0,2020,23,7.0,5.0,5.0,8.0,6.0,6.2,1.2,1.96,1.1,5.1,7.300000000000001,-6.2,1.1
(50-54),Male,Kardzhali,2,2020,23,7.0,5.0,5.0,8.0,6.0,6.2,1.2,1.96,1.1,5.1,7.300000000000001,-4.2,1.1
(55-59),Male,Kardzhali,0,2020,23,7.0,5.0,5.0,8.0,6.0,6.2,1.2,1.96,1.1,5.1,7.300000000000001,-6.2,1.1
(60-64),Male,Kardzhali,3,2020,23,7.0,5.0,5.0,8.0,6.0,6.2,1.2,1.96,1.1,5.1,7.300000000000001,-3.2,1.1
(40-44),Female,Bulgaria,6,2020,24,110.0,123.0,132.0,101.0,133.0,119.8,12.5,1.96,11.0,108.8,130.8,-113.8,11.0
(45-49),Female,Bulgaria,13,2020,24,110.0,123.0,132.0,101.0,133.0,119.8,12.5,1.96,11.0,108.8,130.8,-106.8,11.0
(50-54),Female,Bulgaria,19,2020,24,110.0,123.0,132.0,101.0,133.0,119.8,12.5,1.96,11.0,108.8,130.8,-100.8,11.0
(55-59),Female,Bulgaria,34,2020,24,110.0,123.0,132.0,101.0,133.0,119.8,12.5,1.96,11.0,108.8,130.8,-85.8,11.0
(60-64),Female,Bulgaria,49,2020,24,110.0,123.0,132.0,101.0,133.0,119.8,12.5,1.96,11.0,108.8,130.8,-70.8,11.0
(40-44),Female,Severna i yugoiztochna Bulgaria,4,2020,24,62.0,64.0,76.0,56.0,76.0,66.8,8.0,1.96,7.0,59.8,73.8,-62.8,7.0
(45-49),Female,Severna i yugoiztochna Bulgaria,8,2020,24,62.0,64.0,76.0,56.0,76.0,66.8,8.0,1.96,7.0,59.8,73.8,-58.8,7.0
(50-54),Female,Severna i yugoiztochna Bulgaria,9,2020,24,62.0,64.0,76.0,56.0,76.0,66.8,8.0,1.96,7.0,59.8,73.8,-57.8,7.0
(55-59),Female,Severna i yugoiztochna Bulgaria,15,2020,24,62.0,64.0,76.0,56.0,76.0,66.8,8.0,1.96,7.0,59.8,73.8,-51.8,7.0
(60-64),Female,Severna i yugoiztochna Bulgaria,24,2020,24,62.0,64.0,76.0,56.0,76.0,66.8,8.0,1.96,7.0,59.8,73.8,-42.8,7.0
(40-44),Female,Severozapaden,0,2020,24,13.0,15.0,13.0,12.0,19.0,14.4,2.5,1.96,2.2,12.2,16.6,-14.4,2.2
(45-49),Female,Severozapaden,2,2020,24,13.0,15.0,13.0,12.0,19.0,14.4,2.5,1.96,2.2,12.2,16.6,-12.4,2.2
(50-54),Female,Severozapaden,3,2020,24,13.0,15.0,13.0,12.0,19.0,14.4,2.5,1.96,2.2,12.2,16.6,-11.4,2.2
(55-59),Female,Severozapaden,4,2020,24,13.0,15.0,13.0,12.0,19.0,14.4,2.5,1.96,2.2,12.2,16.6,-10.4,2.2
(60-64),Female,Severozapaden,5,2020,24,13.0,15.0,13.0,12.0,19.0,14.4,2.5,1.96,2.2,12.2,16.6,-9.4,2.2
(40-44),Female,Vidin,0,2020,24,3.0,2.0,3.0,1.0,1.0,2.0,0.9,1.96,0.8,1.2,2.8,-2.0,0.8
(45-49),Female,Vidin,0,2020,24,3.0,2.0,3.0,1.0,1.0,2.0,0.9,1.96,0.8,1.2,2.8,-2.0,0.8
(50-54),Female,Vidin,1,2020,24,3.0,2.0,3.0,1.0,1.0,2.0,0.9,1.96,0.8,1.2,2.8,-1.0,0.8
(55-59),Female,Vidin,2,2020,24,3.0,2.0,3.0,1.0,1.0,2.0,0.9,1.96,0.8,1.2,2.8,0.0,0.8
(60-64),Female,Vidin,2,2020,24,3.0,2.0,3.0,1.0,1.0,2.0,0.9,1.96,0.8,1.2,2.8,0.0,0.8
(40-44),Female,Montana,0,2020,24,0.0,2.0,0.0,1.0,7.0,2.0,2.6,1.96,2.3,-0.2999999999999998,4.3,-2.0,2.3
(45-49),Female,Montana,1,2020,24,0.0,2.0,0.0,1.0,7.0,2.0,2.6,1.96,2.3,-0.2999999999999998,4.3,-1.0,2.3
(50-54),Female,Montana,1,2020,24,0.0,2.0,0.0,1.0,7.0,2.0,2.6,1.96,2.3,-0.2999999999999998,4.3,-1.0,2.3
(55-59),Female,Montana,2,2020,24,0.0,2.0,0.0,1.0,7.0,2.0,2.6,1.96,2.3,-0.2999999999999998,4.3,0.0,2.3
(60-64),Female,Montana,1,2020,24,0.0,2.0,0.0,1.0,7.0,2.0,2.6,1.96,2.3,-0.2999999999999998,4.3,-1.0,2.3
(40-44),Female,Vratsa,0,2020,24,5.0,5.0,5.0,6.0,2.0,4.6,1.4,1.96,1.2,3.3999999999999995,5.8,-4.6,1.2
(45-49),Female,Vratsa,1,2020,24,5.0,5.0,5.0,6.0,2.0,4.6,1.4,1.96,1.2,3.3999999999999995,5.8,-3.6,1.2
(50-54),Female,Vratsa,0,2020,24,5.0,5.0,5.0,6.0,2.0,4.6,1.4,1.96,1.2,3.3999999999999995,5.8,-4.6,1.2
(55-59),Female,Vratsa,0,2020,24,5.0,5.0,5.0,6.0,2.0,4.6,1.4,1.96,1.2,3.3999999999999995,5.8,-4.6,1.2
(60-64),Female,Vratsa,0,2020,24,5.0,5.0,5.0,6.0,2.0,4.6,1.4,1.96,1.2,3.3999999999999995,5.8,-4.6,1.2
(40-44),Female,Pleven,0,2020,24,3.0,6.0,2.0,2.0,7.0,4.0,2.1,1.96,1.8,2.2,5.8,-4.0,1.8
(45-49),Female,Pleven,0,2020,24,3.0,6.0,2.0,2.0,7.0,4.0,2.1,1.96,1.8,2.2,5.8,-4.0,1.8
(50-54),Female,Pleven,0,2020,24,3.0,6.0,2.0,2.0,7.0,4.0,2.1,1.96,1.8,2.2,5.8,-4.0,1.8
(55-59),Female,Pleven,0,2020,24,3.0,6.0,2.0,2.0,7.0,4.0,2.1,1.96,1.8,2.2,5.8,-4.0,1.8
(60-64),Female,Pleven,2,2020,24,3.0,6.0,2.0,2.0,7.0,4.0,2.1,1.96,1.8,2.2,5.8,-2.0,1.8
(40-44),Female,Lovech,0,2020,24,2.0,0.0,3.0,2.0,2.0,1.8,1.0,1.96,0.9,0.9,2.7,-1.8,0.9
(45-49),Female,Lovech,0,2020,24,2.0,0.0,3.0,2.0,2.0,1.8,1.0,1.96,0.9,0.9,2.7,-1.8,0.9
(50-54),Female,Lovech,1,2020,24,2.0,0.0,3.0,2.0,2.0,1.8,1.0,1.96,0.9,0.9,2.7,-0.8,0.9
(55-59),Female,Lovech,0,2020,24,2.0,0.0,3.0,2.0,2.0,1.8,1.0,1.96,0.9,0.9,2.7,-1.8,0.9
(60-64),Female,Lovech,0,2020,24,2.0,0.0,3.0,2.0,2.0,1.8,1.0,1.96,0.9,0.9,2.7,-1.8,0.9
(40-44),Female,Severen tsentralen,1,2020,24,16.0,24.0,16.0,15.0,14.0,17.0,3.6,1.96,3.2,13.8,20.2,-16.0,3.2
(45-49),Female,Severen tsentralen,1,2020,24,16.0,24.0,16.0,15.0,14.0,17.0,3.6,1.96,3.2,13.8,20.2,-16.0,3.2
(50-54),Female,Severen tsentralen,2,2020,24,16.0,24.0,16.0,15.0,14.0,17.0,3.6,1.96,3.2,13.8,20.2,-15.0,3.2
(55-59),Female,Severen tsentralen,5,2020,24,16.0,24.0,16.0,15.0,14.0,17.0,3.6,1.96,3.2,13.8,20.2,-12.0,3.2
(60-64),Female,Severen tsentralen,3,2020,24,16.0,24.0,16.0,15.0,14.0,17.0,3.6,1.96,3.2,13.8,20.2,-14.0,3.2
(40-44),Female,Veliko Tarnovo,0,2020,24,8.0,11.0,6.0,4.0,5.0,6.8,2.5,1.96,2.2,4.6,9.0,-6.8,2.2
(45-49),Female,Veliko Tarnovo,0,2020,24,8.0,11.0,6.0,4.0,5.0,6.8,2.5,1.96,2.2,4.6,9.0,-6.8,2.2
(50-54),Female,Veliko Tarnovo,0,2020,24,8.0,11.0,6.0,4.0,5.0,6.8,2.5,1.96,2.2,4.6,9.0,-6.8,2.2
(55-59),Female,Veliko Tarnovo,2,2020,24,8.0,11.0,6.0,4.0,5.0,6.8,2.5,1.96,2.2,4.6,9.0,-4.8,2.2
(60-64),Female,Veliko Tarnovo,1,2020,24,8.0,11.0,6.0,4.0,5.0,6.8,2.5,1.96,2.2,4.6,9.0,-5.8,2.2
(40-44),Female,Gabrovo,0,2020,24,2.0,1.0,1.0,0.0,0.0,0.8,0.7,1.96,0.6,0.20000000000000007,1.4,-0.8,0.6
(45-49),Female,Gabrovo,0,2020,24,2.0,1.0,1.0,0.0,0.0,0.8,0.7,1.96,0.6,0.20000000000000007,1.4,-0.8,0.6
(50-54),Female,Gabrovo,1,2020,24,2.0,1.0,1.0,0.0,0.0,0.8,0.7,1.96,0.6,0.20000000000000007,1.4,0.2,0.6
